time	V(n010)	V(n028)
0.000000000000000e+000	1.439985e+001	1.439986e+001
8.844410452624185e-008	1.439985e+001	1.439986e+001
2.653323135787256e-007	1.439985e+001	1.439986e+001
6.191087316836930e-007	1.439985e+001	1.439986e+001
1.326661567893628e-006	1.439985e+001	1.439986e+001
2.741767240313497e-006	1.439985e+001	1.439986e+001
5.571978585153237e-006	1.439985e+001	1.439986e+001
1.123240127483272e-005	1.439985e+001	1.439986e+001
1.923240127483378e-005	1.439985e+001	1.439986e+001
2.723240127483484e-005	1.439985e+001	1.439986e+001
3.523240127483590e-005	1.439985e+001	1.439986e+001
4.323240127483696e-005	1.439985e+001	1.439986e+001
5.123240127483802e-005	1.439985e+001	1.439986e+001
5.923240127483909e-005	1.439985e+001	1.439986e+001
6.723240127484015e-005	1.439985e+001	1.439986e+001
7.523240127484121e-005	1.439985e+001	1.439986e+001
8.283128242066173e-005	1.439985e+001	1.439986e+001
9.083128242066280e-005	1.439985e+001	1.439986e+001
9.756556808618311e-005	1.439985e+001	1.439986e+001
9.850672132656613e-005	1.439985e+001	1.439986e+001
1.003890278073252e-004	1.439985e+001	1.439986e+001
1.005525754376527e-004	1.439985e+001	1.439986e+001
1.008867165119276e-004	1.439985e+001	1.439986e+001
1.008961109300877e-004	1.439985e+001	1.439986e+001
1.009148997664078e-004	1.439985e+001	1.439986e+001
1.009524774390411e-004	1.439985e+001	1.439986e+001
1.009883781576057e-004	1.439985e+001	1.439986e+001
1.010255873119467e-004	1.439985e+001	1.439986e+001
1.010510644823132e-004	1.439985e+001	1.439986e+001
1.010838583734922e-004	1.439985e+001	1.439986e+001
1.010844408718473e-004	1.439985e+001	1.439986e+001
1.010856058685644e-004	1.439985e+001	1.439987e+001
1.010879358619987e-004	1.439985e+001	1.439986e+001
1.010925958488604e-004	1.439985e+001	1.439983e+001
1.010949357361027e-004	1.439985e+001	1.439951e+001
1.010983703904067e-004	1.439985e+001	1.439753e+001
1.011000524324540e-004	1.439985e+001	1.439423e+001
1.011011040242468e-004	1.439985e+001	1.438902e+001
1.011018381283854e-004	1.439985e+001	1.438155e+001
1.011025384136111e-004	1.439985e+001	1.436898e+001
1.011031048149189e-004	1.439985e+001	1.435239e+001
1.011036156697356e-004	1.439985e+001	1.432876e+001
1.011041544267399e-004	1.439985e+001	1.428945e+001
1.011047709152182e-004	1.439985e+001	1.421729e+001
1.011054179711618e-004	1.439985e+001	1.409309e+001
1.011060869673952e-004	1.439985e+001	1.387983e+001
1.011067803020141e-004	1.439985e+001	1.350996e+001
1.011075340266038e-004	1.439985e+001	1.282492e+001
1.011084353234396e-004	1.439985e+001	1.148481e+001
1.011092921037321e-004	1.439985e+001	9.532312e+000
1.011103479125197e-004	1.439984e+001	6.374979e+000
1.011109629484239e-004	1.439984e+001	4.350882e+000
1.011113916874543e-004	1.439984e+001	3.027258e+000
1.011118392802712e-004	1.439984e+001	1.927551e+000
1.011123877063605e-004	1.439983e+001	1.018701e+000
1.011129772968342e-004	1.439983e+001	4.486710e-001
1.011132058227823e-004	1.439983e+001	3.354005e-001
1.011134068492486e-004	1.439982e+001	2.875242e-001
1.011136805156923e-004	1.439982e+001	2.484483e-001
1.011139615878717e-004	1.439982e+001	2.250658e-001
1.011142843466706e-004	1.439982e+001	2.099629e-001
1.011146339908453e-004	1.439981e+001	1.999609e-001
1.011151060749740e-004	1.439981e+001	1.910244e-001
1.011157453042130e-004	1.439980e+001	1.829038e-001
1.011167912749744e-004	1.439978e+001	1.748040e-001
1.011182180456066e-004	1.439975e+001	1.692242e-001
1.011200539123083e-004	1.439971e+001	1.668065e-001
1.011225144979047e-004	1.439963e+001	1.663093e-001
1.011251777637487e-004	1.439951e+001	1.663098e-001
1.011298934833552e-004	1.439921e+001	1.663092e-001
1.011393249225681e-004	1.439833e+001	1.663094e-001
1.011485464276971e-004	1.439711e+001	1.663094e-001
1.011589598833643e-004	1.439524e+001	1.663094e-001
1.011699038681591e-004	1.439277e+001	1.663094e-001
1.011825482481396e-004	1.438930e+001	1.663095e-001
1.011983849395423e-004	1.438421e+001	1.663094e-001
1.012148966808360e-004	1.437812e+001	1.663095e-001
1.012409738725822e-004	1.436740e+001	1.663094e-001
1.012650454864025e-004	1.435667e+001	1.663094e-001
1.012918378888866e-004	1.434397e+001	1.663094e-001
1.013283746915741e-004	1.432596e+001	1.663094e-001
1.013781017304913e-004	1.430078e+001	1.663094e-001
1.014444402964235e-004	1.426665e+001	1.663094e-001
1.015458096666824e-004	1.421412e+001	1.663095e-001
1.015945775426283e-004	1.418879e+001	1.663094e-001
1.016240537035640e-004	1.417348e+001	1.663095e-001
1.016411443682044e-004	1.416461e+001	1.663094e-001
1.016534796315707e-004	1.415828e+001	1.663094e-001
1.016646816543246e-004	1.415263e+001	1.663095e-001
1.016871719722312e-004	1.414154e+001	1.663094e-001
1.017027293135145e-004	1.413406e+001	1.663094e-001
1.017210201514213e-004	1.412540e+001	1.663095e-001
1.017366404653317e-004	1.411810e+001	1.663094e-001
1.017592017661037e-004	1.410765e+001	1.663094e-001
1.017816843668778e-004	1.409731e+001	1.663094e-001
1.018067577031531e-004	1.408586e+001	1.663094e-001
1.018320751747376e-004	1.407435e+001	1.663094e-001
1.018654891402557e-004	1.405920e+001	1.663094e-001
