time	V(n004)	V(n005)
0.000000000000000e+000	6.842417e+000	-1.254634e+001
2.365112304700962e-008	6.849886e+000	-1.240113e+001
4.806518554695272e-008	6.857504e+000	-1.223138e+001
8.193780593303626e-008	6.867692e+000	-1.196300e+001
1.366758259264446e-007	6.882360e+000	-1.146518e+001
1.997741958582357e-007	6.895020e+000	-1.083252e+001
2.576514826482454e-007	6.901695e+000	-1.022515e+001
3.125376344241017e-007	6.904829e+000	-9.643553e+000
4.479691072777070e-007	6.910589e+000	-8.208374e+000
9.255224568765173e-007	6.924830e+000	-3.147073e+000
1.657309259265726e-006	6.922062e+000	4.609607e+000
2.219165595485160e-006	6.903625e+000	1.056570e+001
2.456550079691072e-006	6.871305e+000	1.283893e+001
2.549909654439575e-006	6.834823e+000	1.333160e+001
2.621465839387424e-006	6.802901e+000	1.341223e+001
2.632303027273655e-006	6.800946e+000	1.341450e+001
2.644529701808888e-006	6.800820e+000	1.341651e+001
2.650704683905721e-006	6.800842e+000	1.341746e+001
2.659282283407061e-006	6.800917e+000	1.341871e+001
2.669588593879647e-006	6.800991e+000	1.342013e+001
2.680938857540019e-006	6.801003e+000	1.342161e+001
2.692881153690697e-006	6.800907e+000	1.342307e+001
2.704075177586453e-006	6.800682e+000	1.342435e+001
2.720378931822011e-006	6.800148e+000	1.342609e+001
2.736038153400722e-006	6.799452e+000	1.342766e+001
2.749409103122713e-006	6.798722e+000	1.342891e+001
2.765628780381554e-006	6.797717e+000	1.343034e+001
2.779610395279956e-006	6.796782e+000	1.343150e+001
2.795921788795782e-006	6.795640e+000	1.343277e+001
2.814783677105703e-006	6.794292e+000	1.343416e+001
2.833128696893249e-006	6.792974e+000	1.343543e+001
2.852434910143292e-006	6.791595e+000	1.343669e+001
2.870447038136846e-006	6.790322e+000	1.343779e+001
2.912475971979592e-006	6.787403e+000	1.344016e+001
2.934825559924685e-006	6.785871e+000	1.344131e+001
2.980175682023700e-006	6.782783e+000	1.344345e+001
