time	V(n002)	V(n005)
0.000000000000000e+000	-5.551970e+000	-1.313115e+001
1.337457307013998e-008	-5.552148e+000	-1.309233e+001
3.120733716365995e-008	-5.552396e+000	-1.303458e+001
6.687286535026621e-008	-5.552770e+000	-1.289712e+001
1.234416323568632e-007	-5.552790e+000	-1.262100e+001
1.846473647116112e-007	-5.551905e+000	-1.222244e+001
2.686323683723929e-007	-5.550164e+000	-1.152319e+001
3.279554397529749e-007	-5.550198e+000	-1.094520e+001
3.931088549550058e-007	-5.552834e+000	-1.026287e+001
4.529427577084494e-007	-5.557028e+000	-9.629033e+000
5.897012306855555e-007	-5.567620e+000	-8.179757e+000
1.057843337478898e-006	-5.602634e+000	-3.218188e+000
2.445226217117312e-006	-5.704396e+000	1.148833e+001
2.582946683277448e-006	-5.718011e+000	1.286816e+001
2.644244328119799e-006	-5.732202e+000	1.329020e+001
2.685480672367461e-006	-5.747764e+000	1.339064e+001
2.707003317393032e-006	-5.755247e+000	1.339993e+001
2.718616526625837e-006	-5.757927e+000	1.340332e+001
2.736089983532922e-006	-5.760878e+000	1.340759e+001
2.751246551510600e-006	-5.762852e+000	1.341084e+001
2.764681485124560e-006	-5.764042e+000	1.341338e+001
2.776367350651541e-006	-5.764849e+000	1.341539e+001
2.787678832041549e-006	-5.765657e+000	1.341718e+001
2.799374130636138e-006	-5.766461e+000	1.341889e+001
2.811787570897520e-006	-5.767142e+000	1.342058e+001
2.825147523398148e-006	-5.767835e+000	1.342228e+001
2.839799905839623e-006	-5.768758e+000	1.342400e+001
2.854617724617602e-006	-5.769736e+000	1.342562e+001
2.872011235482714e-006	-5.770802e+000	1.342737e+001
2.893826058060402e-006	-5.772253e+000	1.342940e+001
2.912780495198299e-006	-5.773619e+000	1.343103e+001
2.962670658122803e-006	-5.777126e+000	1.343477e+001
2.991699101492773e-006	-5.779241e+000	1.343670e+001
3.050668686398455e-006	-5.783423e+000	1.344010e+001
3.146878897362381e-006	-5.790207e+000	1.344430e+001
3.243089108326307e-006	-5.796957e+000	1.344802e+001
3.339299319290232e-006	-5.803672e+000	1.345127e+001
3.435509530254158e-006	-5.810353e+000	1.345404e+001
3.531719741218084e-006	-5.817000e+000	1.345634e+001
3.627929952182009e-006	-5.823613e+000	1.345816e+001
3.724140163145935e-006	-5.830192e+000	1.345950e+001
4.263109533579885e-006	-5.866552e+000	1.346489e+001
4.802078904013834e-006	-5.902043e+000	1.346925e+001
5.341048274447785e-006	-5.936665e+000	1.347257e+001
5.880017644881734e-006	-5.970417e+000	1.347487e+001
6.418987015315684e-006	-6.003300e+000	1.347613e+001
6.957956385749634e-006	-6.035313e+000	1.347636e+001
7.496925756183583e-006	-6.066457e+000	1.347556e+001
1.195398118600081e-005	-6.291457e+000	1.347661e+001
1.491206678358925e-005	-6.410371e+000	1.347666e+001
1.881831678358925e-005	-6.535996e+000	1.347667e+001
2.272456678358925e-005	-6.627119e+000	1.347668e+001
2.663081678358926e-005	-6.683293e+000	1.347668e+001
3.053706678358926e-005	-6.706423e+000	1.347668e+001
3.444331678358927e-005	-6.698353e+000	1.347668e+001
3.834956678358927e-005	-6.660869e+000	1.347668e+001
4.225581678358927e-005	-6.595698e+000	1.347668e+001
4.616206678358928e-005	-6.504514e+000	1.347668e+001
5.006831678358928e-005	-6.388927e+000	1.347668e+001
5.397456678358928e-005	-6.250500e+000	1.347668e+001
5.788081678358929e-005	-6.090733e+000	1.347668e+001
6.178706678358929e-005	-5.911077e+000	1.347668e+001
6.569331678358929e-005	-5.712930e+000	1.347668e+001
6.959956678358930e-005	-5.497636e+000	1.347668e+001
7.350581678358930e-005	-5.266489e+000	1.347668e+001
8.131831678358931e-005	-4.761560e+000	1.347668e+001
8.913081678358931e-005	-4.207511e+000	1.347668e+001
9.303706678358932e-005	-3.914787e+000	1.347668e+001
9.694331678358932e-005	-3.612956e+000	1.347668e+001
1.008495667835893e-004	-3.302983e+000	1.347668e+001
1.047558167835893e-004	-2.985790e+000	1.347668e+001
1.086620667835893e-004	-2.662256e+000	1.347668e+001
1.125683167835893e-004	-2.333222e+000	1.347668e+001
1.164745667835893e-004	-1.999488e+000	1.347668e+001
1.203808167835893e-004	-1.661815e+000	1.347668e+001
1.242870667835893e-004	-1.320926e+000	1.347668e+001
1.281933167835894e-004	-9.775101e-001	1.347668e+001
1.320995667835894e-004	-6.322186e-001	1.347668e+001
1.360058167835894e-004	-2.857523e-001	1.347668e+001
1.375630657004926e-004	-1.473752e-001	1.347667e+001
1.385645661129008e-004	-5.829187e-002	1.347667e+001
1.392614734347800e-004	3.710840e-003	1.347667e+001
1.402175641745905e-004	8.876954e-002	1.347667e+001
