time	V(n015)
0.000000000000000e+000	-3.658891e-004
8.844410452624185e-008	-3.658890e-004
2.653323135787256e-007	-3.658891e-004
6.191087316836930e-007	-3.658892e-004
1.326661567893628e-006	-3.658892e-004
2.741767240313497e-006	-3.658892e-004
5.571978585153237e-006	-3.658892e-004
1.123240127483272e-005	-3.658892e-004
1.923240127483378e-005	-3.658892e-004
2.723240127483484e-005	-3.658892e-004
3.523240127483590e-005	-3.658892e-004
4.323240127483696e-005	-3.658892e-004
5.123240127483802e-005	-3.658892e-004
5.923240127483909e-005	-3.658892e-004
6.723240127484015e-005	-3.658892e-004
7.523240127484121e-005	-3.658892e-004
8.283128242066173e-005	-3.658892e-004
9.083128242066280e-005	-3.658892e-004
9.756556808618311e-005	-3.658892e-004
9.850672132656613e-005	-3.658892e-004
1.003890278073252e-004	-3.658892e-004
1.005525754376527e-004	-3.658892e-004
1.008867165119276e-004	-3.658892e-004
1.008961109300877e-004	-3.658892e-004
1.009148997664078e-004	-3.658892e-004
1.009524774390411e-004	-3.658892e-004
1.009883781576057e-004	-3.658892e-004
1.010255873119467e-004	-3.658892e-004
1.010510644823132e-004	-3.658892e-004
1.010838583734922e-004	-3.658891e-004
1.010844408718473e-004	-3.658889e-004
1.010856058685644e-004	-3.658874e-004
1.010879358619987e-004	-3.658824e-004
1.010925958488604e-004	-3.658889e-004
1.010949357361027e-004	-3.663157e-004
1.010983703904067e-004	-3.688449e-004
1.011000524324540e-004	-3.724436e-004
1.011011040242468e-004	-3.773620e-004
1.011018381283854e-004	-3.836045e-004
1.011025384136111e-004	-3.933030e-004
1.011031048149189e-004	-4.054118e-004
1.011036156697356e-004	-4.220089e-004
1.011041544267399e-004	-4.489338e-004
1.011047709152182e-004	-4.977734e-004
1.011054179711618e-004	-5.818812e-004
1.011060869673952e-004	-7.278771e-004
1.011067803020141e-004	-9.842921e-004
1.011075340266038e-004	-1.450725e-003
1.011084353234396e-004	-2.308502e-003
1.011092921037321e-004	-3.468188e-003
1.011103479125197e-004	-5.304585e-003
1.011109629484239e-004	-6.574352e-003
1.011113916874543e-004	-7.577274e-003
1.011118392802712e-004	-8.720607e-003
1.011123877063605e-004	-1.023595e-002
1.011129772968342e-004	-1.197437e-002
1.011132058227823e-004	-1.268432e-002
1.011134068492486e-004	-1.333469e-002
1.011136805156923e-004	-1.424648e-002
1.011139615878717e-004	-1.521234e-002
1.011142843466706e-004	-1.635943e-002
1.011146339908453e-004	-1.764919e-002
1.011151060749740e-004	-1.946881e-002
1.011157453042130e-004	-2.207779e-002
1.011167912749744e-004	-2.667534e-002
1.011182180456066e-004	-3.353818e-002
1.011200539123083e-004	-4.334895e-002
1.011225144979047e-004	-5.801063e-002
