v3	V(vout)
-1.000000000000000e+000	-1.566090e+000
-9.990000000000000e-001	-1.562229e+000
-9.980000000000000e-001	-1.558379e+000
-9.970000000000000e-001	-1.554532e+000
-9.960000000000000e-001	-1.550690e+000
-9.950000000000000e-001	-1.546854e+000
-9.940000000000000e-001	-1.543023e+000
-9.930000000000000e-001	-1.539198e+000
-9.920000000000000e-001	-1.535379e+000
-9.910000000000000e-001	-1.531566e+000
-9.900000000000000e-001	-1.527758e+000
-9.890000000000000e-001	-1.523957e+000
-9.880000000000000e-001	-1.520161e+000
-9.870000000000000e-001	-1.516372e+000
-9.860000000000000e-001	-1.512589e+000
-9.850000000000000e-001	-1.508811e+000
-9.840000000000000e-001	-1.505041e+000
-9.830000000000000e-001	-1.501276e+000
-9.820000000000000e-001	-1.497518e+000
-9.810000000000000e-001	-1.493767e+000
-9.800000000000000e-001	-1.490022e+000
-9.790000000000000e-001	-1.486284e+000
-9.780000000000000e-001	-1.482553e+000
-9.770000000000000e-001	-1.478828e+000
-9.760000000000000e-001	-1.475110e+000
-9.750000000000000e-001	-1.471400e+000
-9.740000000000000e-001	-1.467696e+000
-9.730000000000000e-001	-1.464000e+000
-9.720000000000000e-001	-1.460311e+000
-9.710000000000000e-001	-1.456629e+000
-9.700000000000000e-001	-1.452954e+000
-9.690000000000000e-001	-1.449288e+000
-9.680000000000000e-001	-1.445628e+000
-9.670000000000000e-001	-1.441977e+000
-9.660000000000000e-001	-1.438333e+000
-9.650000000000000e-001	-1.434697e+000
-9.640000000000000e-001	-1.431069e+000
-9.630000000000000e-001	-1.427449e+000
-9.620000000000000e-001	-1.423837e+000
-9.610000000000000e-001	-1.420234e+000
-9.600000000000000e-001	-1.416639e+000
-9.590000000000000e-001	-1.413052e+000
-9.580000000000000e-001	-1.409474e+000
-9.570000000000000e-001	-1.405905e+000
-9.560000000000000e-001	-1.402344e+000
-9.550000000000000e-001	-1.398792e+000
-9.540000000000000e-001	-1.395249e+000
-9.530000000000000e-001	-1.391715e+000
-9.520000000000000e-001	-1.388191e+000
-9.510000000000000e-001	-1.384675e+000
-9.500000000000000e-001	-1.381169e+000
-9.490000000000000e-001	-1.377673e+000
-9.480000000000000e-001	-1.374186e+000
-9.470000000000000e-001	-1.370709e+000
