waveform	Ch0		Gen	
t0	28-04-20  23:11:31,393583		28-04-20  23:11:31,393585	
delta t	5,000000E-6		5,000000E-6	

time[0]	Ch0	time[1]	Gen
28-04-20  23:11:31,394238	-1,440829E+0	28-04-20  23:11:31,394240	-9,991052E-1
28-04-20  23:11:31,394243	-1,435625E+0	28-04-20  23:11:31,394245	-9,974788E-1
28-04-20  23:11:31,394248	-1,428794E+0	28-04-20  23:11:31,394250	-9,945513E-1
28-04-20  23:11:31,394253	-1,425216E+0	28-04-20  23:11:31,394255	-9,929250E-1
28-04-20  23:11:31,394258	-1,417409E+0	28-04-20  23:11:31,394260	-9,909733E-1
28-04-20  23:11:31,394263	-1,411880E+0	28-04-20  23:11:31,394265	-9,896722E-1
28-04-20  23:11:31,394268	-1,406675E+0	28-04-20  23:11:31,394270	-9,873953E-1
28-04-20  23:11:31,394273	-1,398218E+0	28-04-20  23:11:31,394275	-9,851184E-1
28-04-20  23:11:31,394278	-1,392038E+0	28-04-20  23:11:31,394280	-9,825162E-1
28-04-20  23:11:31,394283	-1,386508E+0	28-04-20  23:11:31,394285	-9,812151E-1
28-04-20  23:11:31,394288	-1,382280E+0	28-04-20  23:11:31,394290	-9,786128E-1
28-04-20  23:11:31,394293	-1,375449E+0	28-04-20  23:11:31,394295	-9,766612E-1
28-04-20  23:11:31,394298	-1,369269E+0	28-04-20  23:11:31,394300	-9,743843E-1
28-04-20  23:11:31,394303	-1,362438E+0	28-04-20  23:11:31,394305	-9,721073E-1
28-04-20  23:11:31,394308	-1,356258E+0	28-04-20  23:11:31,394310	-9,701557E-1
28-04-20  23:11:31,394313	-1,349427E+0	28-04-20  23:11:31,394315	-9,691799E-1
28-04-20  23:11:31,394318	-1,344873E+0	28-04-20  23:11:31,394320	-9,665777E-1
28-04-20  23:11:31,394323	-1,339343E+0	28-04-20  23:11:31,394325	-9,646260E-1
28-04-20  23:11:31,394328	-1,332838E+0	28-04-20  23:11:31,394330	-9,629996E-1
28-04-20  23:11:31,394333	-1,328284E+0	28-04-20  23:11:31,394335	-9,616985E-1
28-04-20  23:11:31,394338	-1,322104E+0	28-04-20  23:11:31,394340	-9,594216E-1
28-04-20  23:11:31,394343	-1,315273E+0	28-04-20  23:11:31,394345	-9,571447E-1
28-04-20  23:11:31,394348	-1,311044E+0	28-04-20  23:11:31,394350	-9,542172E-1
28-04-20  23:11:31,394353	-1,303238E+0	28-04-20  23:11:31,394355	-9,529161E-1
28-04-20  23:11:31,394358	-1,297383E+0	28-04-20  23:11:31,394360	-9,512897E-1
28-04-20  23:11:31,394363	-1,292829E+0	28-04-20  23:11:31,394365	-9,477117E-1
28-04-20  23:11:31,394368	-1,284697E+0	28-04-20  23:11:31,394370	-9,473864E-1
28-04-20  23:11:31,394373	-1,280794E+0	28-04-20  23:11:31,394375	-9,451095E-1
28-04-20  23:11:31,394378	-1,274288E+0	28-04-20  23:11:31,394380	-9,421820E-1
28-04-20  23:11:31,394383	-1,268758E+0	28-04-20  23:11:31,394385	-9,415315E-1
28-04-20  23:11:31,394388	-1,262253E+0	28-04-20  23:11:31,394390	-9,389293E-1
28-04-20  23:11:31,394393	-1,257374E+0	28-04-20  23:11:31,394395	-9,356765E-1
28-04-20  23:11:31,394398	-1,250218E+0	28-04-20  23:11:31,394400	-9,343754E-1
28-04-20  23:11:31,394403	-1,245339E+0	28-04-20  23:11:31,394405	-9,317732E-1
28-04-20  23:11:31,394408	-1,240134E+0	28-04-20  23:11:31,394410	-9,304721E-1
28-04-20  23:11:31,394413	-1,234279E+0	28-04-20  23:11:31,394415	-9,291710E-1
28-04-20  23:11:31,394418	-1,230376E+0	28-04-20  23:11:31,394420	-9,272193E-1
28-04-20  23:11:31,394423	-1,223220E+0	28-04-20  23:11:31,394425	-9,246171E-1
28-04-20  23:11:31,394428	-1,217365E+0	28-04-20  23:11:31,394430	-9,226655E-1
28-04-20  23:11:31,394433	-1,211835E+0	28-04-20  23:11:31,394435	-9,207138E-1
28-04-20  23:11:31,394438	-1,205330E+0	28-04-20  23:11:31,394440	-9,181116E-1
28-04-20  23:11:31,394443	-1,199800E+0	28-04-20  23:11:31,394445	-9,168105E-1
28-04-20  23:11:31,394448	-1,193620E+0	28-04-20  23:11:31,394450	-9,145336E-1
28-04-20  23:11:31,394453	-1,188741E+0	28-04-20  23:11:31,394455	-9,129072E-1
28-04-20  23:11:31,394458	-1,183211E+0	28-04-20  23:11:31,394460	-9,106303E-1
