waveform	Ch0		Gen	
t0	06-05-20  16:47:44,131724		06-05-20  16:47:44,131726	
delta t	5,000000E-6		5,000000E-6	

time[0]	Ch0	time[1]	Gen
06-05-20  16:47:44,131724	-3,416227E+0	06-05-20  16:47:44,131726	9,836794E+0
06-05-20  16:47:44,131729	-3,111444E+0	06-05-20  16:47:44,131731	9,872249E+0
06-05-20  16:47:44,131734	-2,801131E+0	06-05-20  16:47:44,131736	9,904126E+0
06-05-20  16:47:44,131739	-2,482686E+0	06-05-20  16:47:44,131741	9,936653E+0
06-05-20  16:47:44,131744	-2,157411E+0	06-05-20  16:47:44,131746	9,967554E+0
06-05-20  16:47:44,131749	-1,826280E+0	06-05-20  16:47:44,131751	9,999757E+0
06-05-20  16:47:44,131754	-1,491897E+0	06-05-20  16:47:44,131756	1,002903E+1
06-05-20  16:47:44,131759	-1,153611E+0	06-05-20  16:47:44,131761	1,005961E+1
06-05-20  16:47:44,131764	-8,130477E-1	06-05-20  16:47:44,131766	1,008791E+1
06-05-20  16:47:44,131769	-4,715085E-1	06-05-20  16:47:44,131771	1,011653E+1
06-05-20  16:47:44,131774	-1,289936E-1	06-05-20  16:47:44,131776	1,014515E+1
06-05-20  16:47:44,131779	2,138467E-1	06-05-20  16:47:44,131781	1,017313E+1
06-05-20  16:47:44,131784	5,540847E-1	06-05-20  16:47:44,131786	1,020013E+1
06-05-20  16:47:44,131789	8,930217E-1	06-05-20  16:47:44,131791	1,022582E+1
06-05-20  16:47:44,131794	1,229356E+0	06-05-20  16:47:44,131796	1,025152E+1
06-05-20  16:47:44,131799	1,562438E+0	06-05-20  16:47:44,131801	1,027624E+1
06-05-20  16:47:44,131804	1,891942E+0	06-05-20  16:47:44,131806	1,030096E+1
06-05-20  16:47:44,131809	2,218519E+0	06-05-20  16:47:44,131811	1,032471E+1
06-05-20  16:47:44,131814	2,538915E+0	06-05-20  16:47:44,131816	1,034683E+1
06-05-20  16:47:44,131819	2,855083E+0	06-05-20  16:47:44,131821	1,036959E+1
06-05-20  16:47:44,131824	3,165721E+0	06-05-20  16:47:44,131826	1,039204E+1
06-05-20  16:47:44,131829	3,469853E+0	06-05-20  16:47:44,131831	1,041286E+1
06-05-20  16:47:44,131834	3,768781E+0	06-05-20  16:47:44,131836	1,043432E+1
06-05-20  16:47:44,131839	4,061529E+0	06-05-20  16:47:44,131841	1,045417E+1
06-05-20  16:47:44,131844	4,348097E+0	06-05-20  16:47:44,131846	1,047498E+1
06-05-20  16:47:44,131849	4,627508E+0	06-05-20  16:47:44,131851	1,049287E+1
06-05-20  16:47:44,131854	4,823975E+0	06-05-20  16:47:44,131856	-8,481415E+0
06-05-20  16:47:44,131859	5,133962E+0	06-05-20  16:47:44,131861	-8,510039E+0
06-05-20  16:47:44,131864	5,317092E+0	06-05-20  16:47:44,131866	-8,537362E+0
06-05-20  16:47:44,131869	5,451106E+0	06-05-20  16:47:44,131871	-8,567287E+0
06-05-20  16:47:44,131874	5,541207E+0	06-05-20  16:47:44,131876	-8,598514E+0
06-05-20  16:47:44,131879	5,589348E+0	06-05-20  16:47:44,131881	-8,631367E+0
06-05-20  16:47:44,131884	5,597480E+0	06-05-20  16:47:44,131886	-8,665521E+0
06-05-20  16:47:44,131889	5,569181E+0	06-05-20  16:47:44,131891	-8,701626E+0
06-05-20  16:47:44,131894	5,507378E+0	06-05-20  16:47:44,131896	-8,737407E+0
06-05-20  16:47:44,131899	5,414349E+0	06-05-20  16:47:44,131901	-8,774163E+0
06-05-20  16:47:44,131904	5,290745E+0	06-05-20  16:47:44,131906	-8,811895E+0
06-05-20  16:47:44,131909	5,142745E+0	06-05-20  16:47:44,131911	-8,850928E+0
06-05-20  16:47:44,131914	4,969698E+0	06-05-20  16:47:44,131916	-8,889310E+0
06-05-20  16:47:44,131919	4,774208E+0	06-05-20  16:47:44,131921	-8,928343E+0
06-05-20  16:47:44,131924	4,559526E+0	06-05-20  16:47:44,131926	-8,967701E+0
06-05-20  16:47:44,131929	4,326954E+0	06-05-20  16:47:44,131931	-9,006409E+0
06-05-20  16:47:44,131934	4,079094E+0	06-05-20  16:47:44,131936	-9,046418E+0
06-05-20  16:47:44,131939	3,816597E+0	06-05-20  16:47:44,131941	-9,085126E+0
