waveform	Ch0		Gen	
t0	28-04-20  23:06:55,812870		28-04-20  23:06:55,812873	
delta t	5,000000E-6		5,000000E-6	

time[0]	Ch0	time[1]	Gen
28-04-20  23:06:55,812870	-7,876762E-1	28-04-20  23:06:55,812873	-7,388849E-1
28-04-20  23:06:55,812875	-7,906037E-1	28-04-20  23:06:55,812878	-7,398607E-1
28-04-20  23:06:55,812880	-7,928806E-1	28-04-20  23:06:55,812883	-7,424629E-1
28-04-20  23:06:55,812885	-7,958081E-1	28-04-20  23:06:55,812888	-7,440893E-1
28-04-20  23:06:55,812890	-7,971092E-1	28-04-20  23:06:55,812893	-7,457157E-1
28-04-20  23:06:55,812895	-7,990608E-1	28-04-20  23:06:55,812898	-7,476673E-1
28-04-20  23:06:55,812900	-8,023136E-1	28-04-20  23:06:55,812903	-7,492937E-1
28-04-20  23:06:55,812905	-8,049158E-1	28-04-20  23:06:55,812908	-7,518959E-1
28-04-20  23:06:55,812910	-8,075180E-1	28-04-20  23:06:55,812913	-7,548234E-1
28-04-20  23:06:55,812915	-8,091444E-1	28-04-20  23:06:55,812918	-7,557992E-1
28-04-20  23:06:55,812920	-8,114213E-1	28-04-20  23:06:55,812923	-7,574256E-1
28-04-20  23:06:55,812925	-8,133730E-1	28-04-20  23:06:55,812928	-7,597025E-1
28-04-20  23:06:55,812930	-8,159752E-1	28-04-20  23:06:55,812933	-7,626300E-1
28-04-20  23:06:55,812935	-8,182521E-1	28-04-20  23:06:55,812938	-7,636058E-1
28-04-20  23:06:55,812940	-8,205290E-1	28-04-20  23:06:55,812943	-7,658827E-1
28-04-20  23:06:55,812945	-8,224807E-1	28-04-20  23:06:55,812948	-7,678344E-1
28-04-20  23:06:55,812950	-8,247576E-1	28-04-20  23:06:55,812953	-7,697861E-1
28-04-20  23:06:55,812955	-8,273598E-1	28-04-20  23:06:55,812958	-7,714124E-1
28-04-20  23:06:55,812960	-8,296367E-1	28-04-20  23:06:55,812963	-7,743399E-1
28-04-20  23:06:55,812965	-8,332148E-1	28-04-20  23:06:55,812968	-7,759663E-1
28-04-20  23:06:55,812970	-8,345159E-1	28-04-20  23:06:55,812973	-7,782432E-1
28-04-20  23:06:55,812975	-8,367928E-1	28-04-20  23:06:55,812978	-7,792190E-1
28-04-20  23:06:55,812980	-8,390697E-1	28-04-20  23:06:55,812983	-7,811707E-1
28-04-20  23:06:55,812985	-8,416719E-1	28-04-20  23:06:55,812988	-7,834476E-1
28-04-20  23:06:55,812990	-8,439488E-1	28-04-20  23:06:55,812993	-7,860498E-1
28-04-20  23:06:55,812995	-8,465510E-1	28-04-20  23:06:55,812998	-7,880015E-1
28-04-20  23:06:55,813000	-8,475269E-1	28-04-20  23:06:55,813003	-7,896279E-1
28-04-20  23:06:55,813005	-8,504543E-1	28-04-20  23:06:55,813008	-7,919048E-1
28-04-20  23:06:55,813010	-8,530566E-1	28-04-20  23:06:55,813013	-7,948323E-1
28-04-20  23:06:55,813015	-8,559840E-1	28-04-20  23:06:55,813018	-7,964586E-1
28-04-20  23:06:55,813020	-8,569599E-1	28-04-20  23:06:55,813023	-7,980850E-1
28-04-20  23:06:55,813025	-8,605379E-1	28-04-20  23:06:55,813028	-8,006872E-1
28-04-20  23:06:55,813030	-8,628148E-1	28-04-20  23:06:55,813033	-8,023136E-1
28-04-20  23:06:55,813035	-8,637906E-1	28-04-20  23:06:55,813038	-8,036147E-1
28-04-20  23:06:55,813040	-8,660676E-1	28-04-20  23:06:55,813043	-8,062169E-1
28-04-20  23:06:55,813045	-8,686698E-1	28-04-20  23:06:55,813048	-8,081685E-1
28-04-20  23:06:55,813050	-8,722478E-1	28-04-20  23:06:55,813053	-8,101202E-1
28-04-20  23:06:55,813055	-8,735489E-1	28-04-20  23:06:55,813058	-8,117466E-1
28-04-20  23:06:55,813060	-8,758258E-1	28-04-20  23:06:55,813063	-8,143488E-1
28-04-20  23:06:55,813065	-8,790786E-1	28-04-20  23:06:55,813068	-8,166257E-1
28-04-20  23:06:55,813070	-8,803797E-1	28-04-20  23:06:55,813073	-8,182521E-1
28-04-20  23:06:55,813075	-8,836324E-1	28-04-20  23:06:55,813078	-8,195532E-1
28-04-20  23:06:55,813080	-8,862346E-1	28-04-20  23:06:55,813083	-8,221554E-1
28-04-20  23:06:55,813085	-8,881863E-1	28-04-20  23:06:55,813088	-8,247576E-1
28-04-20  23:06:55,813090	-8,907885E-1	28-04-20  23:06:55,813093	-8,260587E-1
28-04-20  23:06:55,813095	-8,924149E-1	28-04-20  23:06:55,813098	-8,280103E-1
28-04-20  23:06:55,813100	-8,940412E-1	28-04-20  23:06:55,813103	-8,302873E-1
28-04-20  23:06:55,813105	-8,972940E-1	28-04-20  23:06:55,813108	-8,319137E-1
28-04-20  23:06:55,813110	-8,998962E-1	28-04-20  23:06:55,813113	-8,341906E-1
28-04-20  23:06:55,813115	-9,018479E-1	28-04-20  23:06:55,813118	-8,354917E-1
28-04-20  23:06:55,813120	-9,041248E-1	28-04-20  23:06:55,813123	-8,390697E-1
28-04-20  23:06:55,813125	-9,060764E-1	28-04-20  23:06:55,813128	-8,403708E-1
28-04-20  23:06:55,813130	-9,080281E-1	28-04-20  23:06:55,813133	-8,416719E-1
28-04-20  23:06:55,813135	-9,106303E-1	28-04-20  23:06:55,813138	-8,442741E-1
28-04-20  23:06:55,813140	-9,132325E-1	28-04-20  23:06:55,813143	-8,472016E-1
28-04-20  23:06:55,813145	-9,155094E-1	28-04-20  23:06:55,813148	-8,478521E-1
28-04-20  23:06:55,813150	-9,174611E-1	28-04-20  23:06:55,813153	-8,498038E-1
28-04-20  23:06:55,813155	-9,197380E-1	28-04-20  23:06:55,813158	-8,520807E-1
28-04-20  23:06:55,813160	-9,220149E-1	28-04-20  23:06:55,813163	-8,546829E-1
28-04-20  23:06:55,813165	-9,259182E-1	28-04-20  23:06:55,813168	-8,559840E-1
28-04-20  23:06:55,813170	-9,268941E-1	28-04-20  23:06:55,813173	-8,589115E-1
28-04-20  23:06:55,813175	-9,291710E-1	28-04-20  23:06:55,813178	-8,602126E-1
28-04-20  23:06:55,813180	-9,314479E-1	28-04-20  23:06:55,813183	-8,618390E-1
28-04-20  23:06:55,813185	-9,337248E-1	28-04-20  23:06:55,813188	-8,641159E-1
28-04-20  23:06:55,813190	-9,356765E-1	28-04-20  23:06:55,813193	-8,660676E-1
28-04-20  23:06:55,813195	-9,376282E-1	28-04-20  23:06:55,813198	-8,676939E-1
28-04-20  23:06:55,813200	-9,405556E-1	28-04-20  23:06:55,813203	-8,696456E-1
28-04-20  23:06:55,813205	-9,428326E-1	28-04-20  23:06:55,813208	-8,719225E-1
28-04-20  23:06:55,813210	-9,451095E-1	28-04-20  23:06:55,813213	-8,738742E-1
28-04-20  23:06:55,813215	-9,477117E-1	28-04-20  23:06:55,813218	-8,755006E-1
28-04-20  23:06:55,813220	-9,499886E-1	28-04-20  23:06:55,813223	-8,781028E-1
28-04-20  23:06:55,813225	-9,525908E-1	28-04-20  23:06:55,813228	-8,803797E-1
28-04-20  23:06:55,813230	-9,545425E-1	28-04-20  23:06:55,813233	-8,820061E-1
28-04-20  23:06:55,813235	-9,564941E-1	28-04-20  23:06:55,813238	-8,836324E-1
28-04-20  23:06:55,813240	-9,597469E-1	28-04-20  23:06:55,813243	-8,862346E-1
28-04-20  23:06:55,813245	-9,620238E-1	28-04-20  23:06:55,813248	-8,878610E-1
28-04-20  23:06:55,813250	-9,639755E-1	28-04-20  23:06:55,813253	-8,901379E-1
28-04-20  23:06:55,813255	-9,665777E-1	28-04-20  23:06:55,813258	-8,924149E-1
28-04-20  23:06:55,813260	-9,685293E-1	28-04-20  23:06:55,813263	-8,950171E-1
28-04-20  23:06:55,813265	-9,714568E-1	28-04-20  23:06:55,813268	-8,966435E-1
28-04-20  23:06:55,813270	-9,724326E-1	28-04-20  23:06:55,813273	-8,982698E-1
28-04-20  23:06:55,813275	-9,756854E-1	28-04-20  23:06:55,813278	-9,002215E-1
28-04-20  23:06:55,813280	-9,773117E-1	28-04-20  23:06:55,813283	-9,024984E-1
28-04-20  23:06:55,813285	-9,805645E-1	28-04-20  23:06:55,813288	-9,034742E-1
28-04-20  23:06:55,813290	-9,821909E-1	28-04-20  23:06:55,813293	-9,060764E-1
28-04-20  23:06:55,813295	-9,851184E-1	28-04-20  23:06:55,813298	-9,090039E-1
28-04-20  23:06:55,813300	-9,873953E-1	28-04-20  23:06:55,813303	-9,099797E-1
28-04-20  23:06:55,813305	-9,899975E-1	28-04-20  23:06:55,813308	-9,119314E-1
28-04-20  23:06:55,813310	-9,916239E-1	28-04-20  23:06:55,813313	-9,138830E-1
28-04-20  23:06:55,813315	-9,942261E-1	28-04-20  23:06:55,813318	-9,158347E-1
28-04-20  23:06:55,813320	-9,961777E-1	28-04-20  23:06:55,813323	-9,177864E-1
28-04-20  23:06:55,813325	-9,987799E-1	28-04-20  23:06:55,813328	-9,187622E-1
28-04-20  23:06:55,813330	-1,001057E+0	28-04-20  23:06:55,813333	-9,216897E-1
28-04-20  23:06:55,813335	-1,003659E+0	28-04-20  23:06:55,813338	-9,246171E-1
28-04-20  23:06:55,813340	-1,005936E+0	28-04-20  23:06:55,813343	-9,252677E-1
28-04-20  23:06:55,813345	-1,008538E+0	28-04-20  23:06:55,813348	-9,285204E-1
28-04-20  23:06:55,813350	-1,010165E+0	28-04-20  23:06:55,813353	-9,298215E-1
28-04-20  23:06:55,813355	-1,012441E+0	28-04-20  23:06:55,813358	-9,314479E-1
28-04-20  23:06:55,813360	-1,014393E+0	28-04-20  23:06:55,813363	-9,340501E-1
28-04-20  23:06:55,813365	-1,016345E+0	28-04-20  23:06:55,813368	-9,356765E-1
28-04-20  23:06:55,813370	-1,019272E+0	28-04-20  23:06:55,813373	-9,379534E-1
28-04-20  23:06:55,813375	-1,022525E+0	28-04-20  23:06:55,813378	-9,405556E-1
28-04-20  23:06:55,813380	-1,025453E+0	28-04-20  23:06:55,813383	-9,421820E-1
28-04-20  23:06:55,813385	-1,026103E+0	28-04-20  23:06:55,813388	-9,434831E-1
28-04-20  23:06:55,813390	-1,029031E+0	28-04-20  23:06:55,813393	-9,447842E-1
28-04-20  23:06:55,813395	-1,030982E+0	28-04-20  23:06:55,813398	-9,480370E-1
28-04-20  23:06:55,813400	-1,033910E+0	28-04-20  23:06:55,813403	-9,503139E-1
28-04-20  23:06:55,813405	-1,035211E+0	28-04-20  23:06:55,813408	-9,522655E-1
28-04-20  23:06:55,813410	-1,038138E+0	28-04-20  23:06:55,813413	-9,535666E-1
28-04-20  23:06:55,813415	-1,039765E+0	28-04-20  23:06:55,813418	-9,561688E-1
28-04-20  23:06:55,813420	-1,042367E+0	28-04-20  23:06:55,813423	-9,577952E-1
28-04-20  23:06:55,813425	-1,046595E+0	28-04-20  23:06:55,813428	-9,600722E-1
28-04-20  23:06:55,813430	-1,046595E+0	28-04-20  23:06:55,813433	-9,616985E-1
28-04-20  23:06:55,813435	-1,050499E+0	28-04-20  23:06:55,813438	-9,643007E-1
28-04-20  23:06:55,813440	-1,051800E+0	28-04-20  23:06:55,813443	-9,656018E-1
28-04-20  23:06:55,813445	-1,053751E+0	28-04-20  23:06:55,813448	-9,675535E-1
28-04-20  23:06:55,813450	-1,056028E+0	28-04-20  23:06:55,813453	-9,701557E-1
28-04-20  23:06:55,813455	-1,059606E+0	28-04-20  23:06:55,813458	-9,727579E-1
28-04-20  23:06:55,813460	-1,061233E+0	28-04-20  23:06:55,813463	-9,747095E-1
28-04-20  23:06:55,813465	-1,063184E+0	28-04-20  23:06:55,813468	-9,760106E-1
28-04-20  23:06:55,813470	-1,065787E+0	28-04-20  23:06:55,813473	-9,779623E-1
28-04-20  23:06:55,813475	-1,068389E+0	28-04-20  23:06:55,813478	-9,802392E-1
