waveform	Ch0		Gen	
t0	28-04-20  23:11:31,393583		28-04-20  23:11:31,393585	
delta t	5,000000E-6		5,000000E-6	

time[0]	Ch0	time[1]	Gen
28-04-20  23:11:31,393583	-8,114213E-1	28-04-20  23:11:31,393585	-7,398607E-1
28-04-20  23:11:31,393588	-8,130477E-1	28-04-20  23:11:31,393590	-7,418124E-1
28-04-20  23:11:31,393593	-8,172763E-1	28-04-20  23:11:31,393595	-7,444146E-1
28-04-20  23:11:31,393598	-8,195532E-1	28-04-20  23:11:31,393600	-7,466915E-1
28-04-20  23:11:31,393603	-8,231312E-1	28-04-20  23:11:31,393605	-7,476673E-1
28-04-20  23:11:31,393608	-8,257334E-1	28-04-20  23:11:31,393610	-7,502695E-1
28-04-20  23:11:31,393613	-8,302873E-1	28-04-20  23:11:31,393615	-7,518959E-1
28-04-20  23:11:31,393618	-8,319137E-1	28-04-20  23:11:31,393620	-7,544981E-1
28-04-20  23:11:31,393623	-8,354917E-1	28-04-20  23:11:31,393625	-7,554739E-1
28-04-20  23:11:31,393628	-8,390697E-1	28-04-20  23:11:31,393630	-7,584014E-1
28-04-20  23:11:31,393633	-8,416719E-1	28-04-20  23:11:31,393635	-7,593772E-1
28-04-20  23:11:31,393638	-8,462258E-1	28-04-20  23:11:31,393640	-7,626300E-1
28-04-20  23:11:31,393643	-8,485027E-1	28-04-20  23:11:31,393645	-7,639311E-1
28-04-20  23:11:31,393648	-8,517554E-1	28-04-20  23:11:31,393650	-7,662080E-1
28-04-20  23:11:31,393653	-8,556588E-1	28-04-20  23:11:31,393655	-7,684850E-1
28-04-20  23:11:31,393658	-8,602126E-1	28-04-20  23:11:31,393660	-7,694608E-1
28-04-20  23:11:31,393663	-8,631401E-1	28-04-20  23:11:31,393665	-7,720630E-1
28-04-20  23:11:31,393668	-8,667181E-1	28-04-20  23:11:31,393670	-7,743399E-1
28-04-20  23:11:31,393673	-8,696456E-1	28-04-20  23:11:31,393675	-7,756410E-1
28-04-20  23:11:31,393678	-8,732236E-1	28-04-20  23:11:31,393680	-7,782432E-1
28-04-20  23:11:31,393683	-8,774522E-1	28-04-20  23:11:31,393685	-7,801949E-1
28-04-20  23:11:31,393688	-8,800544E-1	28-04-20  23:11:31,393690	-7,814960E-1
28-04-20  23:11:31,393693	-8,836324E-1	28-04-20  23:11:31,393695	-7,831223E-1
28-04-20  23:11:31,393698	-8,872105E-1	28-04-20  23:11:31,393700	-7,863751E-1
28-04-20  23:11:31,393703	-8,914390E-1	28-04-20  23:11:31,393705	-7,883268E-1
28-04-20  23:11:31,393708	-8,943665E-1	28-04-20  23:11:31,393710	-7,909290E-1
28-04-20  23:11:31,393713	-8,972940E-1	28-04-20  23:11:31,393715	-7,925553E-1
28-04-20  23:11:31,393718	-9,037995E-1	28-04-20  23:11:31,393720	-7,948323E-1
28-04-20  23:11:31,393723	-9,080281E-1	28-04-20  23:11:31,393725	-7,961334E-1
28-04-20  23:11:31,393728	-9,119314E-1	28-04-20  23:11:31,393730	-7,987356E-1
28-04-20  23:11:31,393733	-9,155094E-1	28-04-20  23:11:31,393735	-8,003619E-1
28-04-20  23:11:31,393738	-9,187622E-1	28-04-20  23:11:31,393740	-8,026389E-1
28-04-20  23:11:31,393743	-9,233160E-1	28-04-20  23:11:31,393745	-8,032894E-1
28-04-20  23:11:31,393748	-9,262435E-1	28-04-20  23:11:31,393750	-8,062169E-1
28-04-20  23:11:31,393753	-9,304721E-1	28-04-20  23:11:31,393755	-8,088191E-1
28-04-20  23:11:31,393758	-9,350259E-1	28-04-20  23:11:31,393760	-8,097949E-1
28-04-20  23:11:31,393763	-9,382787E-1	28-04-20  23:11:31,393765	-8,117466E-1
28-04-20  23:11:31,393768	-9,421820E-1	28-04-20  23:11:31,393770	-8,140235E-1
28-04-20  23:11:31,393773	-9,473864E-1	28-04-20  23:11:31,393775	-8,169510E-1
28-04-20  23:11:31,393778	-9,496633E-1	28-04-20  23:11:31,393780	-8,182521E-1
28-04-20  23:11:31,393783	-9,551930E-1	28-04-20  23:11:31,393785	-8,198785E-1
28-04-20  23:11:31,393788	-9,584458E-1	28-04-20  23:11:31,393790	-8,228059E-1
28-04-20  23:11:31,393793	-9,633249E-1	28-04-20  23:11:31,393795	-8,244323E-1
28-04-20  23:11:31,393798	-9,682040E-1	28-04-20  23:11:31,393800	-8,260587E-1
28-04-20  23:11:31,393803	-9,727579E-1	28-04-20  23:11:31,393805	-8,289862E-1
28-04-20  23:11:31,393808	-9,773117E-1	28-04-20  23:11:31,393810	-8,306125E-1
28-04-20  23:11:31,393813	-9,805645E-1	28-04-20  23:11:31,393815	-8,315884E-1
28-04-20  23:11:31,393818	-9,851184E-1	28-04-20  23:11:31,393820	-8,348411E-1
28-04-20  23:11:31,393823	-9,903228E-1	28-04-20  23:11:31,393825	-8,367928E-1
28-04-20  23:11:31,393828	-9,948766E-1	28-04-20  23:11:31,393830	-8,384192E-1
28-04-20  23:11:31,393833	-9,994305E-1	28-04-20  23:11:31,393835	-8,403708E-1
28-04-20  23:11:31,393838	-1,003984E+0	28-04-20  23:11:31,393840	-8,419972E-1
28-04-20  23:11:31,393843	-1,007237E+0	28-04-20  23:11:31,393845	-8,445994E-1
28-04-20  23:11:31,393848	-1,014068E+0	28-04-20  23:11:31,393850	-8,465510E-1
28-04-20  23:11:31,393853	-1,017321E+0	28-04-20  23:11:31,393855	-8,481774E-1
28-04-20  23:11:31,393858	-1,020899E+0	28-04-20  23:11:31,393860	-8,498038E-1
28-04-20  23:11:31,393863	-1,025127E+0	28-04-20  23:11:31,393865	-8,524060E-1
28-04-20  23:11:31,393868	-1,029356E+0	28-04-20  23:11:31,393870	-8,543577E-1
28-04-20  23:11:31,393873	-1,034560E+0	28-04-20  23:11:31,393875	-8,572851E-1
28-04-20  23:11:31,393878	-1,040090E+0	28-04-20  23:11:31,393880	-8,582610E-1
28-04-20  23:11:31,393883	-1,045294E+0	28-04-20  23:11:31,393885	-8,602126E-1
