waveform	Ch0		Gen	
t0	06-05-20  16:36:42,649194		06-05-20  16:36:42,649196	
delta t	5,000000E-6		5,000000E-6	

time[0]	Ch0	time[1]	Gen
06-05-20  16:36:42,649194	-4,853944E+0	06-05-20  16:36:42,649196	1,063600E+1
06-05-20  16:36:42,649199	-5,112538E+0	06-05-20  16:36:42,649201	1,063600E+1
06-05-20  16:36:42,649204	-5,375035E+0	06-05-20  16:36:42,649206	1,063600E+1
06-05-20  16:36:42,649209	-5,638183E+0	06-05-20  16:36:42,649211	5,515510E+0
06-05-20  16:36:42,649214	-5,680468E+0	06-05-20  16:36:42,649216	-1,041680E+1
06-05-20  16:36:42,649219	-5,395202E+0	06-05-20  16:36:42,649221	-1,041843E+1
06-05-20  16:36:42,649224	-5,116441E+0	06-05-20  16:36:42,649226	-1,041908E+1
06-05-20  16:36:42,649229	-4,841258E+0	06-05-20  16:36:42,649231	-1,041843E+1
06-05-20  16:36:42,649234	-4,569328E+0	06-05-20  16:36:42,649236	-1,041908E+1
06-05-20  16:36:42,649239	-4,298373E+0	06-05-20  16:36:42,649241	-1,041941E+1
06-05-20  16:36:42,649244	-4,029045E+0	06-05-20  16:36:42,649246	-1,041908E+1
06-05-20  16:36:42,649249	-3,760693E+0	06-05-20  16:36:42,649251	-1,041941E+1
06-05-20  16:36:42,649254	-3,494943E+0	06-05-20  16:36:42,649256	-1,041941E+1
06-05-20  16:36:42,649259	-3,228868E+0	06-05-20  16:36:42,649261	-1,041875E+1
06-05-20  16:36:42,649264	-2,963769E+0	06-05-20  16:36:42,649266	-1,041843E+1
06-05-20  16:36:42,649269	-2,700295E+0	06-05-20  16:36:42,649271	-1,041745E+1
06-05-20  16:36:42,649274	-2,438449E+0	06-05-20  16:36:42,649276	-1,041713E+1
06-05-20  16:36:42,649279	-2,176927E+0	06-05-20  16:36:42,649281	-1,041745E+1
06-05-20  16:36:42,649284	-1,916056E+0	06-05-20  16:36:42,649286	-1,041745E+1
06-05-20  16:36:42,649289	-1,656812E+0	06-05-20  16:36:42,649291	-1,041680E+1
06-05-20  16:36:42,649294	-1,398543E+0	06-05-20  16:36:42,649296	-1,041680E+1
