waveform	Gen		Ch1	
t0	15-05-20  10:37:40,765682		15-05-20  10:37:40,765680	
delta t	5,000000E-6		5,000000E-6	

time[0]	Gen	time[1]	Ch1
15-05-20  10:37:40,765682	9,665834E+0	15-05-20  10:37:40,765680	-3,375430E+0
15-05-20  10:37:40,765687	9,701744E+0	15-05-20  10:37:40,765685	-3,082925E+0
15-05-20  10:37:40,765692	9,735369E+0	15-05-20  10:37:40,765690	-2,779974E+0
15-05-20  10:37:40,765697	9,768994E+0	15-05-20  10:37:40,765695	-2,468209E+0
15-05-20  10:37:40,765702	9,803272E+0	15-05-20  10:37:40,765700	-2,149588E+0
15-05-20  10:37:40,765707	9,836897E+0	15-05-20  10:37:40,765705	-1,824437E+0
15-05-20  10:37:40,765712	9,869216E+0	15-05-20  10:37:40,765710	-1,495043E+0
15-05-20  10:37:40,765717	9,901535E+0	15-05-20  10:37:40,765715	-1,161079E+0
15-05-20  10:37:40,765722	9,933528E+0	15-05-20  10:37:40,765720	-8,245028E-1
15-05-20  10:37:40,765727	9,964867E+0	15-05-20  10:37:40,765725	-4,869473E-1
15-05-20  10:37:40,765732	9,994901E+0	15-05-20  10:37:40,765730	-1,474331E-1
15-05-20  10:37:40,765737	1,002494E+1	15-05-20  10:37:40,765735	1,927341E-1
15-05-20  10:37:40,765742	1,005432E+1	15-05-20  10:37:40,765740	5,315954E-1
15-05-20  10:37:40,765747	1,008174E+1	15-05-20  10:37:40,765745	8,688244E-1
15-05-20  10:37:40,765752	1,010753E+1	15-05-20  10:37:40,765750	1,203115E+0
15-05-20  10:37:40,765757	1,013005E+1	15-05-20  10:37:40,765755	1,535121E+0
15-05-20  10:37:40,765762	1,015095E+1	15-05-20  10:37:40,765760	1,861577E+0
15-05-20  10:37:40,765767	1,017021E+1	15-05-20  10:37:40,765765	2,184768E+0
15-05-20  10:37:40,765772	1,018686E+1	15-05-20  10:37:40,765770	2,502410E+0
15-05-20  10:37:40,765777	1,020253E+1	15-05-20  10:37:40,765775	2,815155E+0
15-05-20  10:37:40,765782	1,021461E+1	15-05-20  10:37:40,765780	3,122350E+0
