waveform	Gen		Ch1	
t0	15-05-20  10:34:15,174433		15-05-20  10:34:15,174431	
delta t	5,000000E-6		5,000000E-6	

time[0]	Gen	time[1]	Ch1
15-05-20  10:34:15,174433	2,769778E+0	15-05-20  10:34:15,174431	-1,841740E+0
15-05-20  10:34:15,174438	3,007438E+0	15-05-20  10:34:15,174436	-1,783630E+0
15-05-20  10:34:15,174443	3,243139E+0	15-05-20  10:34:15,174441	-1,718339E+0
15-05-20  10:34:15,174448	3,479819E+0	15-05-20  10:34:15,174446	-1,644234E+0
15-05-20  10:34:15,174453	3,715194E+0	15-05-20  10:34:15,174451	-1,562620E+0
15-05-20  10:34:15,174458	3,949916E+0	15-05-20  10:34:15,174456	-1,473497E+0
15-05-20  10:34:15,174463	4,184311E+0	15-05-20  10:34:15,174461	-1,377519E+0
15-05-20  10:34:15,174468	4,417727E+0	15-05-20  10:34:15,174466	-1,273706E+0
15-05-20  10:34:15,174473	4,652776E+0	15-05-20  10:34:15,174471	-1,162711E+0
15-05-20  10:34:15,174478	4,885539E+0	15-05-20  10:34:15,174476	-1,045187E+0
15-05-20  10:34:15,174483	4,965847E+0	15-05-20  10:34:15,174481	-9,214602E-1
15-05-20  10:34:15,174488	4,670404E+0	15-05-20  10:34:15,174486	-7,931630E-1
15-05-20  10:34:15,174493	4,386388E+0	15-05-20  10:34:15,174491	-6,576838E-1
15-05-20  10:34:15,174498	4,105309E+0	15-05-20  10:34:15,174496	-5,186135E-1
15-05-20  10:34:15,174503	3,825863E+0	15-05-20  10:34:15,174501	-3,775845E-1
15-05-20  10:34:15,174508	3,549028E+0	15-05-20  10:34:15,174506	-2,372085E-1
15-05-20  10:34:15,174513	3,272846E+0	15-05-20  10:34:15,174511	-9,585302E-2
15-05-20  10:34:15,174518	2,998623E+0	15-05-20  10:34:15,174516	4,321723E-2
15-05-20  10:34:15,174523	2,725380E+0	15-05-20  10:34:15,174521	1,800023E-1
15-05-20  10:34:15,174528	2,452789E+0	15-05-20  10:34:15,174526	3,131963E-1
15-05-20  10:34:15,174533	2,180851E+0	15-05-20  10:34:15,174531	4,427993E-1
15-05-20  10:34:15,174538	1,910219E+0	15-05-20  10:34:15,174536	5,668526E-1
15-05-20  10:34:15,174543	1,639913E+0	15-05-20  10:34:15,174541	6,840503E-1
15-05-20  10:34:15,174548	1,371240E+0	15-05-20  10:34:15,174546	7,966776E-1
15-05-20  10:34:15,174553	1,102567E+0	15-05-20  10:34:15,174551	9,011435E-1
15-05-20  10:34:15,174558	8,361788E-1	15-05-20  10:34:15,174556	9,990803E-1
15-05-20  10:34:15,174563	5,688114E-1	15-05-20  10:34:15,174561	1,088529E+0
15-05-20  10:34:15,174568	3,027497E-1	15-05-20  10:34:15,174566	1,171449E+0
15-05-20  10:34:15,174573	3,734102E-2	15-05-20  10:34:15,174571	1,243922E+0
15-05-20  10:34:15,174578	-2,270883E-1	15-05-20  10:34:15,174576	1,309866E+0
15-05-20  10:34:15,174583	-4,915177E-1	15-05-20  10:34:15,174581	1,366017E+0
15-05-20  10:34:15,174588	-7,549676E-1	15-05-20  10:34:15,174586	1,413679E+0
15-05-20  10:34:15,174593	-1,018091E+0	15-05-20  10:34:15,174591	1,452201E+0
15-05-20  10:34:15,174598	-1,279256E+0	15-05-20  10:34:15,174596	1,479624E+0
15-05-20  10:34:15,174603	-1,541074E+0	15-05-20  10:34:15,174601	1,500517E+0
15-05-20  10:34:15,174608	-1,802238E+0	15-05-20  10:34:15,174606	1,509331E+0
15-05-20  10:34:15,174613	-2,062424E+0	15-05-20  10:34:15,174611	1,510637E+0
15-05-20  10:34:15,174618	-2,321630E+0	15-05-20  10:34:15,174616	1,503128E+0
15-05-20  10:34:15,174623	-2,581162E+0	15-05-20  10:34:15,174621	1,484194E+0
15-05-20  10:34:15,174628	-2,839389E+0	15-05-20  10:34:15,174626	1,456445E+0
15-05-20  10:34:15,174633	-3,098269E+0	15-05-20  10:34:15,174631	1,420209E+0
15-05-20  10:34:15,174638	-3,356169E+0	15-05-20  10:34:15,174636	1,375158E+0
15-05-20  10:34:15,174643	-3,613416E+0	15-05-20  10:34:15,174641	1,320639E+0
15-05-20  10:34:15,174648	-3,870663E+0	15-05-20  10:34:15,174646	1,256654E+0
15-05-20  10:34:15,174653	-4,127258E+0	15-05-20  10:34:15,174651	1,184507E+0
15-05-20  10:34:15,174658	-4,382873E+0	15-05-20  10:34:15,174656	1,104199E+0
15-05-20  10:34:15,174663	-4,639794E+0	15-05-20  10:34:15,174661	1,016709E+0
15-05-20  10:34:15,174668	-4,896062E+0	15-05-20  10:34:15,174666	9,194251E-1
15-05-20  10:34:15,174673	-5,151350E+0	15-05-20  10:34:15,174671	8,149592E-1
15-05-20  10:34:15,174678	-5,408598E+0	15-05-20  10:34:15,174676	7,036377E-1
15-05-20  10:34:15,174683	-5,705999E+0	15-05-20  10:34:15,174681	5,838283E-1
15-05-20  10:34:15,174688	-5,294991E+0	15-05-20  10:34:15,174686	4,574899E-1
15-05-20  10:34:15,174693	-5,023380E+0	15-05-20  10:34:15,174691	3,252752E-1
15-05-20  10:34:15,174698	-4,756012E+0	15-05-20  10:34:15,174696	1,868579E-1
15-05-20  10:34:15,174703	-4,490603E+0	15-05-20  10:34:15,174701	4,713470E-2
15-05-20  10:34:15,174708	-4,226501E+0	15-05-20  10:34:15,174706	-9,389428E-2
15-05-20  10:34:15,174713	-3,964030E+0	15-05-20  10:34:15,174711	-2,362291E-1
15-05-20  10:34:15,174718	-3,702539E+0	15-05-20  10:34:15,174716	-3,775845E-1
