Freq.	V(vc)
1.00000000000000e+000	(-4.44321830882071e+000dB,-9.57470735364158e+001°)
1.02329299228075e+000	(-4.24526180207702e+000dB,-9.58800184034297e+001°)
1.04712854805090e+000	(-4.04740057214246e+000dB,-9.60159946076342e+001°)
1.07151930523761e+000	(-3.84963901100907e+000dB,-9.61550681533744e+001°)
1.09647819614318e+000	(-3.65198170833990e+000dB,-9.62973062614177e+001°)
1.12201845430196e+000	(-3.45443345990892e+000dB,-9.64427773753211e+001°)
1.14815362149688e+000	(-3.25699927635756e+000dB,-9.65915511664940e+001°)
1.17489755493953e+000	(-3.05968439228133e+000dB,-9.67436985378352e+001°)
1.20226443461741e+000	(-2.86249427563761e+000dB,-9.68992916258155e+001°)
1.23026877081238e+000	(-2.66543463750098e+000dB,-9.70584038008710e+001°)
1.25892541179417e+000	(-2.46851144216176e+000dB,-9.72211096659609e+001°)
1.28824955169313e+000	(-2.27173091757409e+000dB,-9.73874850531368e+001°)
1.31825673855641e+000	(-2.07509956616088e+000dB,-9.75576070179619e+001°)
1.34896288259165e+000	(-1.87862417598444e+000dB,-9.77315538316068e+001°)
1.38038426460288e+000	(-1.68231183227767e+000dB,-9.79094049704411e+001°)
1.41253754462275e+000	(-1.48616992934844e+000dB,-9.80912411029293e+001°)
1.44543977074593e+000	(-1.29020618285109e+000dB,-9.82771440736268e+001°)
1.47910838816821e+000	(-1.09442864243480e+000dB,-9.84671968840668e+001°)
1.51356124843621e+000	(-8.98845704761569e-001dB,-9.86614836703104e+001°)
1.54881661891248e+000	(-7.03466126892158e-001dB,-9.88600896769275e+001°)
1.58489319246111e+000	(-5.08299040041891e-001dB,-9.90631012271619e+001°)
1.62181009735893e+000	(-3.13353963700193e-001dB,-9.92706056890224e+001°)
1.65958690743756e+000	(-1.18640820098977e-001dB,-9.94826914370309e+001°)
1.69824365246174e+000	(7.58300509699379e-002dB,-9.96994478093471e+001°)
1.73780082874937e+000	(2.70047877000564e-001dB,-9.99209650599782e+001°)
1.77827941003892e+000	(4.64001437305852e-001dB,-1.00147334305769e+002°)
1.81970085860998e+000	(6.57679047242904e-001dB,-1.00378647467860e+002°)
1.86208713666287e+000	(8.51068542156784e-001dB,-1.00614997207288e+002°)
1.90546071796325e+000	(1.04415726107043e+000dB,-1.00856476854391e+002°)
1.94984459975804e+000	(1.23693203013404e+000dB,-1.01103180331682e+002°)
1.99526231496888e+000	(1.42937914588805e+000dB,-1.01355202069830e+002°)
2.04173794466953e+000	(1.62148435834870e+000dB,-1.01612636916390e+002°)
2.08929613085404e+000	(1.81323285397886e+000dB,-1.01875580036925e+002°)
2.13796208950223e+000	(2.00460923857785e+000dB,-1.02144126808128e+002°)
2.18776162394955e+000	(2.19559752014362e+000dB,-1.02418372702599e+002°)
2.23872113856834e+000	(2.38618109176056e+000dB,-1.02698413164869e+002°)
2.29086765276777e+000	(2.57634271458478e+000dB,-1.02984343478326e+002°)
2.34422881531992e+000	(2.76606450097820e+000dB,-1.03276258622656e+002°)
2.39883291901949e+000	(2.95532789788756e+000dB,-1.03574253121430e+002°)
2.45470891568503e+000	(3.14411367053113e+000dB,-1.03878420879501e+002°)
2.51188643150958e+000	(3.33240188649376e+000dB,-1.04188855009857e+002°)
2.57039578276886e+000	(3.52017190032533e+000dB,-1.04505647649604e+002°)
2.63026799189538e+000	(3.70740233874390e+000dB,-1.04828889764781e+002°)
2.69153480392691e+000	(3.89407108656041e+000dB,-1.05158670943743e+002°)
2.75422870333816e+000	(4.08015527344292e+000dB,-1.05495079178840e+002°)
2.81838293126445e+000	(4.26563126164942e+000dB,-1.05838200636212e+002°)
2.88403150312660e+000	(4.45047463487187e+000dB,-1.06188119413525e+002°)
2.95120922666638e+000	(4.63466018832926e+000dB,-1.06544917285534e+002°)
3.01995172040201e+000	(4.81816192027450e+000dB,-1.06908673437419e+002°)
3.09029543251359e+000	(5.00095302506898e+000dB,-1.07279464185905e+002°)
3.16227766016837e+000	(5.18300588799784e+000dB,-1.07657362688240e+002°)
3.23593656929628e+000	(5.36429208200768e+000dB,-1.08042438639191e+002°)
3.31131121482591e+000	(5.54478236655136e+000dB,-1.08434757956319e+002°)
3.38844156139202e+000	(5.72444668872235e+000dB,-1.08834382453853e+002°)
3.46736850452531e+000	(5.90325418688938e+000dB,-1.09241369505641e+002°)
3.54813389233575e+000	(6.08117319702088e+000dB,-1.09655771697725e+002°)
3.63078054770101e+000	(6.25817126191199e+000dB,-1.10077636471228e+002°)
3.71535229097172e+000	(6.43421514351596e+000dB,-1.10507005756376e+002°)
3.80189396320560e+000	(6.60927083858630e+000dB,-1.10943915598617e+002°)
3.89045144994280e+000	(6.78330359784244e+000dB,-1.11388395777919e+002°)
3.98107170553496e+000	(6.95627794884797e+000dB,-1.11840469422524e+002°)
4.07380277804112e+000	(7.12815772280929e+000dB,-1.12300152618564e+002°)
4.16869383470335e+000	(7.29890608547958e+000dB,-1.12767454017113e+002°)
4.26579518801592e+000	(7.46848557234034e+000dB,-1.13242374440421e+002°)
4.36515832240165e+000	(7.63685812823042e+000dB,-1.13724906489244e+002°)
4.46683592150962e+000	(7.80398515156855e+000dB,-1.14215034153345e+002°)
4.57088189614874e+000	(7.96982754329339e+000dB,-1.14712732427416e+002°)
4.67735141287197e+000	(8.13434576063124e+000dB,-1.15217966934818e+002°)
4.78630092322637e+000	(8.29749987576304e+000dB,-1.15730693561709e+002°)
4.89778819368445e+000	(8.45924963944472e+000dB,-1.16250858104253e+002°)
5.01187233627271e+000	(8.61955454959357e+000dB,-1.16778395931745e+002°)
5.12861383991364e+000	(8.77837392481832e+000dB,-1.17313231668603e+002°)
5.24807460249771e+000	(8.93566698283137e+000dB,-1.17855278898264e+002°)
5.37031796370252e+000	(9.09139292364371e+000dB,-1.18404439892100e+002°)
5.49540873857623e+000	(9.24551101738393e+000dB,-1.18960605366517e+002°)
5.62341325190348e+000	(9.39798069655080e+000dB,-1.19523654271403e+002°)
5.75439937337156e+000	(9.54876165244777e+000dB,-1.20093453613101e+002°)
5.88843655355588e+000	(9.69781393549884e+000dB,-1.20669858315004e+002°)
6.02559586074356e+000	(9.84509805909395e+000dB,-1.21252711118803e+002°)
6.16595001861481e+000	(9.99057510655683e+000dB,-1.21841842529266e+002°)
6.30957344480192e+000	(1.01342068407777e+001dB,-1.22437070805283e+002°)
6.45654229034654e+000	(1.02759558160012e+001dB,-1.23038201999677e+002°)
6.60693448007594e+000	(1.04157854912061e+001dB,-1.23645030050024e+002°)
6.76082975391980e+000	(1.05536603444751e+001dB,-1.24257336922439e+002°)
6.91830970918935e+000	(1.06895459877065e+001dB,-1.24874892809934e+002°)
7.07945784384136e+000	(1.08234092809764e+001dB,-1.25497456386555e+002°)
7.24435960074988e+000	(1.09552184458336e+001dB,-1.26124775118126e+002°)
7.41310241300916e+000	(1.10849431767886e+001dB,-1.26756585629933e+002°)
7.58577575029182e+000	(1.12125547502248e+001dB,-1.27392614131211e+002°)
7.76247116628690e+000	(1.13380261299625e+001dB,-1.28032576895821e+002°)
7.94328234724279e+000	(1.14613320686981e+001dB,-1.28676180797935e+002°)
8.12830516164097e+000	(1.15824492045525e+001dB,-1.29323123901050e+002°)
8.31763771102669e+000	(1.17013561519710e+001dB,-1.29973096098107e+002°)
8.51138038202374e+000	(1.18180335862534e+001dB,-1.30625779799967e+002°)
8.70963589956078e+000	(1.19324643210211e+001dB,-1.31280850668970e+002°)
8.91250938133743e+000	(1.20446333779741e+001dB,-1.31937978393837e+002°)
9.12010839355907e+000	(1.21545280483527e+001dB,-1.32596827501688e+002°)
9.33254300796988e+000	(1.22621379455638e+001dB,-1.33257058202556e+002°)
9.54992586021433e+000	(1.23674550485226e+001dB,-1.33918327261374e+002°)
9.77237220955808e+000	(1.24704737353268e+001dB,-1.34580288892116e+002°)
9.99999999999997e+000	(1.25711908069555e+001dB,-1.35242595668511e+002°)
1.02329299228075e+001	(1.26696055007931e+001dB,-1.35904899445519e+002°)
1.04712854805090e+001	(1.27657194938452e+001dB,-1.36566852285690e+002°)
1.07151930523760e+001	(1.28595368956292e+001dB,-1.37228107384401e+002°)
1.09647819614318e+001	(1.29510642307923e+001dB,-1.37888319988031e+002°)
1.12201845430196e+001	(1.30403104116193e+001dB,-1.38547148299206e+002°)
1.14815362149688e+001	(1.31272867006748e+001dB,-1.39204254363365e+002°)
1.17489755493953e+001	(1.32120066639088e+001dB,-1.39859304931192e+002°)
1.20226443461741e+001	(1.32944861146385e+001dB,-1.40511972291658e+002°)
1.23026877081238e+001	(1.33747430488915e+001dB,-1.41161935070831e+002°)
1.25892541179416e+001	(1.34527975726655e+001dB,-1.41808878991958e+002°)
1.28824955169313e+001	(1.35286718217167e+001dB,-1.42452497592778e+002°)
1.31825673855640e+001	(1.36023898745397e+001dB,-1.43092492896492e+002°)
1.34896288259165e+001	(1.36739776592475e+001dB,-1.43728576033326e+002°)
1.38038426460288e+001	(1.37434628550817e+001dB,-1.44360467810113e+002°)
1.41253754462275e+001	(1.38108747893241e+001dB,-1.44987899225902e+002°)
1.44543977074592e+001	(1.38762443303699e+001dB,-1.45610611932074e+002°)
1.47910838816820e+001	(1.39396037777465e+001dB,-1.46228358636026e+002°)
1.51356124843620e+001	(1.40009867498482e+001dB,-1.46840903447977e+002°)
1.54881661891248e+001	(1.40604280701429e+001dB,-1.47448022170932e+002°)
1.58489319246111e+001	(1.41179636525820e+001dB,-1.48049502534354e+002°)
1.62181009735892e+001	(1.41736303869331e+001dB,-1.48645144372486e+002°)
1.65958690743755e+001	(1.42274660246958e+001dB,-1.49234759748713e+002°)
1.69824365246174e+001	(1.42795090662388e+001dB,-1.49818173027686e+002°)
1.73780082874937e+001	(1.43297986497524e+001dB,-1.50395220897298e+002°)
1.77827941003892e+001	(1.43783744425466e+001dB,-1.50965752342836e+002°)
1.81970085860998e+001	(1.44252765351964e+001dB,-1.51529628575925e+002°)
1.86208713666286e+001	(1.44705453389657e+001dB,-1.52086722921034e+002°)
1.90546071796324e+001	(1.45142214869023e+001dB,-1.52636920662514e+002°)
1.94984459975804e+001	(1.45563457389284e+001dB,-1.53180118855195e+002°)
1.99526231496887e+001	(1.45969588912179e+001dB,-1.53716226101709e+002°)
2.04173794466952e+001	(1.46361016900796e+001dB,-1.54245162299686e+002°)
2.08929613085403e+001	(1.46738147505336e+001dB,-1.54766858362008e+002°)
2.13796208950222e+001	(1.47101384797101e+001dB,-1.55281255913271e+002°)
2.18776162394954e+001	(1.47451130051550e+001dB,-1.55788306965531e+002°)
2.23872113856833e+001	(1.47787781080988e+001dB,-1.56287973576362e+002°)
