waveform	Ch0		Gen	
t0	14-11-20  16:20:18,015556		14-11-20  16:20:18,015560	
delta t	8,000000E-6		8,000000E-6	

time[0]	Ch0	time[1]	Gen
14-11-20  16:20:18,015556	6,994589E-4	14-11-20  16:20:18,015560	2,515854E+0
14-11-20  16:20:18,015564	1,724090E-3	14-11-20  16:20:18,015568	2,509983E+0
14-11-20  16:20:18,015572	2,953647E-3	14-11-20  16:20:18,015576	2,504438E+0
14-11-20  16:20:18,015580	4,183204E-3	14-11-20  16:20:18,015584	2,498241E+0
14-11-20  16:20:18,015588	4,866292E-3	14-11-20  16:20:18,015592	2,491392E+0
14-11-20  16:20:18,015596	6,164158E-3	14-11-20  16:20:18,015600	2,485521E+0
14-11-20  16:20:18,015604	7,393715E-3	14-11-20  16:20:18,015608	2,480303E+0
14-11-20  16:20:18,015612	8,418346E-3	14-11-20  16:20:18,015616	2,474106E+0
14-11-20  16:20:18,015620	8,691581E-3	14-11-20  16:20:18,015624	2,468235E+0
14-11-20  16:20:18,015628	9,852829E-3	14-11-20  16:20:18,015632	2,462364E+0
14-11-20  16:20:18,015636	1,101408E-2	14-11-20  16:20:18,015640	2,455841E+0
14-11-20  16:20:18,015644	1,224364E-2	14-11-20  16:20:18,015648	2,450949E+0
14-11-20  16:20:18,015652	1,279010E-2	14-11-20  16:20:18,015656	2,445078E+0
14-11-20  16:20:18,015660	1,395135E-2	14-11-20  16:20:18,015664	2,438881E+0
14-11-20  16:20:18,015668	1,463444E-2	14-11-20  16:20:18,015672	2,433010E+0
14-11-20  16:20:18,015676	1,613723E-2	14-11-20  16:20:18,015680	2,427140E+0
14-11-20  16:20:18,015684	1,634216E-2	14-11-20  16:20:18,015688	2,421269E+0
14-11-20  16:20:18,015692	1,839142E-2	14-11-20  16:20:18,015696	2,415724E+0
14-11-20  16:20:18,015700	1,900620E-2	14-11-20  16:20:18,015704	2,409201E+0
14-11-20  16:20:18,015708	1,989421E-2	14-11-20  16:20:18,015712	2,403983E+0
14-11-20  16:20:18,015716	2,112377E-2	14-11-20  16:20:18,015720	2,397786E+0
14-11-20  16:20:18,015724	2,201178E-2	14-11-20  16:20:18,015728	2,391915E+0
14-11-20  16:20:18,015732	2,262656E-2	14-11-20  16:20:18,015736	2,386370E+0
14-11-20  16:20:18,015740	2,378781E-2	14-11-20  16:20:18,015744	2,380826E+0
14-11-20  16:20:18,015748	2,453921E-2	14-11-20  16:20:18,015752	2,374955E+0
14-11-20  16:20:18,015756	2,583707E-2	14-11-20  16:20:18,015760	2,369736E+0
14-11-20  16:20:18,015764	2,686170E-2	14-11-20  16:20:18,015768	2,363866E+0
14-11-20  16:20:18,015772	2,747648E-2	14-11-20  16:20:18,015776	2,358321E+0
14-11-20  16:20:18,015780	2,836450E-2	14-11-20  16:20:18,015784	2,353429E+0
14-11-20  16:20:18,015788	2,959405E-2	14-11-20  16:20:18,015792	2,346906E+0
14-11-20  16:20:18,015796	3,027714E-2	14-11-20  16:20:18,015800	2,341035E+0
14-11-20  16:20:18,015804	3,143839E-2	14-11-20  16:20:18,015808	2,336795E+0
14-11-20  16:20:18,015812	3,300949E-2	14-11-20  16:20:18,015816	2,329946E+0
14-11-20  16:20:18,015820	3,300949E-2	14-11-20  16:20:18,015824	2,325053E+0
14-11-20  16:20:18,015828	3,396581E-2	14-11-20  16:20:18,015832	2,319182E+0
14-11-20  16:20:18,015836	3,519537E-2	14-11-20  16:20:18,015840	2,313964E+0
14-11-20  16:20:18,015844	3,649324E-2	14-11-20  16:20:18,015848	2,308093E+0
14-11-20  16:20:18,015852	3,765448E-2	14-11-20  16:20:18,015856	2,302875E+0
14-11-20  16:20:18,015860	3,779110E-2	14-11-20  16:20:18,015864	2,297004E+0
14-11-20  16:20:18,015868	3,867912E-2	14-11-20  16:20:18,015872	2,291785E+0
14-11-20  16:20:18,015876	3,984036E-2	14-11-20  16:20:18,015880	2,286567E+0
14-11-20  16:20:18,015884	4,154808E-2	14-11-20  16:20:18,015888	2,282001E+0
14-11-20  16:20:18,015892	4,202624E-2	14-11-20  16:20:18,015896	2,276130E+0
14-11-20  16:20:18,015900	4,277764E-2	14-11-20  16:20:18,015904	2,269933E+0
14-11-20  16:20:18,015908	4,339242E-2	14-11-20  16:20:18,015912	2,264715E+0
14-11-20  16:20:18,015916	4,469028E-2	14-11-20  16:20:18,015920	2,259822E+0
14-11-20  16:20:18,015924	4,544168E-2	14-11-20  16:20:18,015928	2,254278E+0
14-11-20  16:20:18,015932	4,632969E-2	14-11-20  16:20:18,015936	2,250038E+0
14-11-20  16:20:18,015940	4,701278E-2	14-11-20  16:20:18,015944	2,244167E+0
14-11-20  16:20:18,015948	4,783249E-2	14-11-20  16:20:18,015952	2,238622E+0
14-11-20  16:20:18,015956	4,926697E-2	14-11-20  16:20:18,015960	2,234708E+0
14-11-20  16:20:18,015964	5,035991E-2	14-11-20  16:20:18,015968	2,228838E+0
14-11-20  16:20:18,015972	5,076976E-2	14-11-20  16:20:18,015976	2,223945E+0
14-11-20  16:20:18,015980	5,131623E-2	14-11-20  16:20:18,015984	2,219053E+0
14-11-20  16:20:18,015988	5,227255E-2	14-11-20  16:20:18,015992	2,213508E+0
14-11-20  16:20:18,015996	5,363873E-2	14-11-20  16:20:18,016000	2,208942E+0
14-11-20  16:20:18,016004	5,377535E-2	14-11-20  16:20:18,016008	2,203724E+0
14-11-20  16:20:18,016012	5,479998E-2	14-11-20  16:20:18,016016	2,199158E+0
14-11-20  16:20:18,016020	5,555137E-2	14-11-20  16:20:18,016024	2,194265E+0
14-11-20  16:20:18,016028	5,650770E-2	14-11-20  16:20:18,016032	2,189047E+0
14-11-20  16:20:18,016036	5,705416E-2	14-11-20  16:20:18,016040	2,184807E+0
14-11-20  16:20:18,016044	5,753233E-2	14-11-20  16:20:18,016048	2,180241E+0
14-11-20  16:20:18,016052	5,903512E-2	14-11-20  16:20:18,016056	2,175348E+0
14-11-20  16:20:18,016060	5,978651E-2	14-11-20  16:20:18,016064	2,171108E+0
14-11-20  16:20:18,016068	6,053791E-2	14-11-20  16:20:18,016072	2,166216E+0
14-11-20  16:20:18,016076	6,081115E-2	14-11-20  16:20:18,016080	2,161976E+0
14-11-20  16:20:18,016084	6,190409E-2	14-11-20  16:20:18,016088	2,157084E+0
14-11-20  16:20:18,016092	6,238225E-2	14-11-20  16:20:18,016096	2,153496E+0
14-11-20  16:20:18,016100	6,327026E-2	14-11-20  16:20:18,016104	2,147951E+0
14-11-20  16:20:18,016108	6,388504E-2	14-11-20  16:20:18,016112	2,143711E+0
14-11-20  16:20:18,016116	6,518290E-2	14-11-20  16:20:18,016120	2,139471E+0
14-11-20  16:20:18,016124	6,600261E-2	14-11-20  16:20:18,016128	2,134579E+0
14-11-20  16:20:18,016132	6,661739E-2	14-11-20  16:20:18,016136	2,130665E+0
14-11-20  16:20:18,016140	6,730048E-2	14-11-20  16:20:18,016144	2,126751E+0
14-11-20  16:20:18,016148	6,764202E-2	14-11-20  16:20:18,016152	2,122185E+0
14-11-20  16:20:18,016156	6,934974E-2	14-11-20  16:20:18,016160	2,117619E+0
14-11-20  16:20:18,016164	6,955466E-2	14-11-20  16:20:18,016168	2,113705E+0
14-11-20  16:20:18,016172	7,051099E-2	14-11-20  16:20:18,016176	2,108813E+0
14-11-20  16:20:18,016180	7,085253E-2	14-11-20  16:20:18,016184	2,105225E+0
14-11-20  16:20:18,016188	7,119407E-2	14-11-20  16:20:18,016192	2,100659E+0
14-11-20  16:20:18,016196	7,235532E-2	14-11-20  16:20:18,016200	2,097724E+0
14-11-20  16:20:18,016204	7,228701E-2	14-11-20  16:20:18,016208	2,093810E+0
14-11-20  16:20:18,016212	7,385811E-2	14-11-20  16:20:18,016216	2,090548E+0
14-11-20  16:20:18,016220	7,426797E-2	14-11-20  16:20:18,016224	2,085982E+0
14-11-20  16:20:18,016228	7,447289E-2	14-11-20  16:20:18,016232	2,082394E+0
14-11-20  16:20:18,016236	7,597568E-2	14-11-20  16:20:18,016240	2,078807E+0
14-11-20  16:20:18,016244	7,618061E-2	14-11-20  16:20:18,016248	2,074567E+0
14-11-20  16:20:18,016252	7,706862E-2	14-11-20  16:20:18,016256	2,070979E+0
14-11-20  16:20:18,016260	7,741017E-2	14-11-20  16:20:18,016264	2,067391E+0
14-11-20  16:20:18,016268	7,747848E-2	14-11-20  16:20:18,016272	2,064130E+0
14-11-20  16:20:18,016276	7,877634E-2	14-11-20  16:20:18,016280	2,059890E+0
14-11-20  16:20:18,016284	7,850311E-2	14-11-20  16:20:18,016288	2,056628E+0
14-11-20  16:20:18,016292	7,980097E-2	14-11-20  16:20:18,016296	2,053040E+0
14-11-20  16:20:18,016300	8,048406E-2	14-11-20  16:20:18,016304	2,049127E+0
14-11-20  16:20:18,016308	8,041575E-2	14-11-20  16:20:18,016312	2,047170E+0
14-11-20  16:20:18,016316	8,123546E-2	14-11-20  16:20:18,016320	2,042930E+0
14-11-20  16:20:18,016324	8,226009E-2	14-11-20  16:20:18,016328	2,039994E+0
14-11-20  16:20:18,016332	8,273825E-2	14-11-20  16:20:18,016336	2,036733E+0
14-11-20  16:20:18,016340	8,253332E-2	14-11-20  16:20:18,016344	2,033797E+0
14-11-20  16:20:18,016348	8,328472E-2	14-11-20  16:20:18,016352	2,030536E+0
14-11-20  16:20:18,016356	8,424104E-2	14-11-20  16:20:18,016360	2,028579E+0
14-11-20  16:20:18,016364	8,458259E-2	14-11-20  16:20:18,016368	2,024665E+0
14-11-20  16:20:18,016372	8,540229E-2	14-11-20  16:20:18,016376	2,021730E+0
14-11-20  16:20:18,016380	8,588045E-2	14-11-20  16:20:18,016384	2,018794E+0
