waveform	Ch0		Gen	
t0	14-11-20  17:12:29,183491		14-11-20  17:12:29,183495	
delta t	8,000000E-6		8,000000E-6	

time[0]	Ch0	time[1]	Gen
14-11-20  17:12:29,183491	8,468032E-5	14-11-20  17:12:29,183495	2,277761E+0
14-11-20  17:12:29,183499	1,109311E-3	14-11-20  17:12:29,183503	2,271238E+0
14-11-20  17:12:29,183507	1,519164E-3	14-11-20  17:12:29,183511	2,266019E+0
14-11-20  17:12:29,183515	3,636735E-3	14-11-20  17:12:29,183519	2,259822E+0
14-11-20  17:12:29,183523	3,978278E-3	14-11-20  17:12:29,183527	2,253625E+0
14-11-20  17:12:29,183531	5,276144E-3	14-11-20  17:12:29,183535	2,246776E+0
14-11-20  17:12:29,183539	5,822614E-3	14-11-20  17:12:29,183543	2,240579E+0
14-11-20  17:12:29,183547	6,983863E-3	14-11-20  17:12:29,183551	2,235687E+0
14-11-20  17:12:29,183555	8,213420E-3	14-11-20  17:12:29,183559	2,229816E+0
14-11-20  17:12:29,183563	9,169742E-3	14-11-20  17:12:29,183567	2,223945E+0
14-11-20  17:12:29,183571	1,012606E-2	14-11-20  17:12:29,183575	2,217096E+0
14-11-20  17:12:29,183579	1,108239E-2	14-11-20  17:12:29,183583	2,212530E+0
14-11-20  17:12:29,183587	1,190209E-2	14-11-20  17:12:29,183591	2,206007E+0
14-11-20  17:12:29,183595	1,340488E-2	14-11-20  17:12:29,183599	2,200788E+0
14-11-20  17:12:29,183603	1,415628E-2	14-11-20  17:12:29,183607	2,194591E+0
14-11-20  17:12:29,183611	1,531753E-2	14-11-20  17:12:29,183615	2,188721E+0
14-11-20  17:12:29,183619	1,565907E-2	14-11-20  17:12:29,183623	2,182850E+0
14-11-20  17:12:29,183627	1,647878E-2	14-11-20  17:12:29,183631	2,176979E+0
14-11-20  17:12:29,183635	1,811819E-2	14-11-20  17:12:29,183639	2,171108E+0
14-11-20  17:12:29,183643	1,921113E-2	14-11-20  17:12:29,183647	2,165564E+0
14-11-20  17:12:29,183651	1,975760E-2	14-11-20  17:12:29,183655	2,159693E+0
14-11-20  17:12:29,183659	2,132870E-2	14-11-20  17:12:29,183663	2,152844E+0
14-11-20  17:12:29,183667	2,160193E-2	14-11-20  17:12:29,183671	2,146973E+0
14-11-20  17:12:29,183675	2,310472E-2	14-11-20  17:12:29,183679	2,141754E+0
14-11-20  17:12:29,183683	2,392443E-2	14-11-20  17:12:29,183687	2,136536E+0
14-11-20  17:12:29,183691	2,481244E-2	14-11-20  17:12:29,183695	2,130013E+0
14-11-20  17:12:29,183699	2,522229E-2	14-11-20  17:12:29,183703	2,123490E+0
14-11-20  17:12:29,183707	2,638354E-2	14-11-20  17:12:29,183711	2,118597E+0
14-11-20  17:12:29,183715	2,809126E-2	14-11-20  17:12:29,183719	2,113053E+0
14-11-20  17:12:29,183723	2,815957E-2	14-11-20  17:12:29,183727	2,107508E+0
14-11-20  17:12:29,183731	2,952574E-2	14-11-20  17:12:29,183735	2,101637E+0
14-11-20  17:12:29,183739	3,109685E-2	14-11-20  17:12:29,183743	2,095440E+0
14-11-20  17:12:29,183747	3,171162E-2	14-11-20  17:12:29,183751	2,089896E+0
14-11-20  17:12:29,183755	3,335103E-2	14-11-20  17:12:29,183759	2,084677E+0
14-11-20  17:12:29,183763	3,328273E-2	14-11-20  17:12:29,183767	2,079133E+0
14-11-20  17:12:29,183771	3,471721E-2	14-11-20  17:12:29,183775	2,073262E+0
14-11-20  17:12:29,183779	3,533199E-2	14-11-20  17:12:29,183783	2,067391E+0
14-11-20  17:12:29,183787	3,649324E-2	14-11-20  17:12:29,183791	2,061520E+0
14-11-20  17:12:29,183795	3,744956E-2	14-11-20  17:12:29,183799	2,056302E+0
14-11-20  17:12:29,183803	3,820095E-2	14-11-20  17:12:29,183807	2,051083E+0
14-11-20  17:12:29,183811	3,902066E-2	14-11-20  17:12:29,183815	2,045213E+0
14-11-20  17:12:29,183819	4,011360E-2	14-11-20  17:12:29,183823	2,040646E+0
14-11-20  17:12:29,183827	4,052345E-2	14-11-20  17:12:29,183831	2,035102E+0
14-11-20  17:12:29,183835	4,236779E-2	14-11-20  17:12:29,183839	2,030210E+0
14-11-20  17:12:29,183843	4,325580E-2	14-11-20  17:12:29,183847	2,024013E+0
14-11-20  17:12:29,183851	4,366565E-2	14-11-20  17:12:29,183855	2,018468E+0
14-11-20  17:12:29,183859	4,489521E-2	14-11-20  17:12:29,183863	2,013576E+0
14-11-20  17:12:29,183867	4,503183E-2	14-11-20  17:12:29,183871	2,008031E+0
14-11-20  17:12:29,183875	4,687616E-2	14-11-20  17:12:29,183879	2,003791E+0
14-11-20  17:12:29,183883	4,728602E-2	14-11-20  17:12:29,183887	1,997594E+0
14-11-20  17:12:29,183891	4,824234E-2	14-11-20  17:12:29,183895	1,992376E+0
14-11-20  17:12:29,183899	4,837896E-2	14-11-20  17:12:29,183903	1,987157E+0
14-11-20  17:12:29,183907	4,974513E-2	14-11-20  17:12:29,183911	1,981613E+0
14-11-20  17:12:29,183915	5,076976E-2	14-11-20  17:12:29,183919	1,976720E+0
14-11-20  17:12:29,183923	5,131623E-2	14-11-20  17:12:29,183927	1,971502E+0
14-11-20  17:12:29,183931	5,281902E-2	14-11-20  17:12:29,183935	1,965957E+0
14-11-20  17:12:29,183939	5,309226E-2	14-11-20  17:12:29,183943	1,961391E+0
14-11-20  17:12:29,183947	5,377535E-2	14-11-20  17:12:29,183951	1,957151E+0
14-11-20  17:12:29,183955	5,452674E-2	14-11-20  17:12:29,183959	1,951932E+0
14-11-20  17:12:29,183963	5,486829E-2	14-11-20  17:12:29,183967	1,948345E+0
14-11-20  17:12:29,183971	5,684924E-2	14-11-20  17:12:29,183975	1,943126E+0
14-11-20  17:12:29,183979	5,732740E-2	14-11-20  17:12:29,183983	1,938560E+0
14-11-20  17:12:29,183987	5,780556E-2	14-11-20  17:12:29,183991	1,933668E+0
14-11-20  17:12:29,183995	5,917174E-2	14-11-20  17:12:29,183999	1,928775E+0
14-11-20  17:12:29,184003	5,937666E-2	14-11-20  17:12:29,184007	1,924535E+0
14-11-20  17:12:29,184011	6,053791E-2	14-11-20  17:12:29,184015	1,919317E+0
14-11-20  17:12:29,184019	6,135762E-2	14-11-20  17:12:29,184023	1,915403E+0
14-11-20  17:12:29,184027	6,163085E-2	14-11-20  17:12:29,184031	1,910837E+0
14-11-20  17:12:29,184035	6,361180E-2	14-11-20  17:12:29,184039	1,905945E+0
14-11-20  17:12:29,184043	6,327026E-2	14-11-20  17:12:29,184047	1,901705E+0
14-11-20  17:12:29,184051	6,449982E-2	14-11-20  17:12:29,184055	1,896486E+0
14-11-20  17:12:29,184059	6,504629E-2	14-11-20  17:12:29,184063	1,891594E+0
14-11-20  17:12:29,184067	6,538783E-2	14-11-20  17:12:29,184071	1,888332E+0
14-11-20  17:12:29,184075	6,627584E-2	14-11-20  17:12:29,184079	1,883440E+0
14-11-20  17:12:29,184083	6,702724E-2	14-11-20  17:12:29,184087	1,878874E+0
14-11-20  17:12:29,184091	6,771033E-2	14-11-20  17:12:29,184095	1,874960E+0
14-11-20  17:12:29,184099	6,873496E-2	14-11-20  17:12:29,184103	1,870720E+0
14-11-20  17:12:29,184107	6,921312E-2	14-11-20  17:12:29,184111	1,866480E+0
14-11-20  17:12:29,184115	7,092084E-2	14-11-20  17:12:29,184119	1,862892E+0
14-11-20  17:12:29,184123	7,119407E-2	14-11-20  17:12:29,184127	1,858326E+0
14-11-20  17:12:29,184131	7,160393E-2	14-11-20  17:12:29,184135	1,854412E+0
14-11-20  17:12:29,184139	7,221870E-2	14-11-20  17:12:29,184143	1,850498E+0
14-11-20  17:12:29,184147	7,256025E-2	14-11-20  17:12:29,184151	1,846585E+0
14-11-20  17:12:29,184155	7,344826E-2	14-11-20  17:12:29,184159	1,842671E+0
14-11-20  17:12:29,184163	7,419966E-2	14-11-20  17:12:29,184167	1,838431E+0
14-11-20  17:12:29,184171	7,454120E-2	14-11-20  17:12:29,184175	1,833865E+0
14-11-20  17:12:29,184179	7,563414E-2	14-11-20  17:12:29,184183	1,830603E+0
14-11-20  17:12:29,184187	7,624892E-2	14-11-20  17:12:29,184191	1,826037E+0
14-11-20  17:12:29,184195	7,727355E-2	14-11-20  17:12:29,184199	1,822775E+0
14-11-20  17:12:29,184203	7,741017E-2	14-11-20  17:12:29,184207	1,819188E+0
14-11-20  17:12:29,184211	7,788833E-2	14-11-20  17:12:29,184215	1,815926E+0
14-11-20  17:12:29,184219	7,850311E-2	14-11-20  17:12:29,184223	1,812338E+0
14-11-20  17:12:29,184227	7,904958E-2	14-11-20  17:12:29,184231	1,807446E+0
14-11-20  17:12:29,184235	8,014252E-2	14-11-20  17:12:29,184239	1,804511E+0
14-11-20  17:12:29,184243	8,021083E-2	14-11-20  17:12:29,184247	1,800923E+0
14-11-20  17:12:29,184251	8,116715E-2	14-11-20  17:12:29,184255	1,797335E+0
14-11-20  17:12:29,184259	8,137207E-2	14-11-20  17:12:29,184263	1,794400E+0
14-11-20  17:12:29,184267	8,205516E-2	14-11-20  17:12:29,184271	1,790486E+0
14-11-20  17:12:29,184275	8,301148E-2	14-11-20  17:12:29,184279	1,787551E+0
14-11-20  17:12:29,184283	8,335303E-2	14-11-20  17:12:29,184287	1,784941E+0
14-11-20  17:12:29,184291	8,424104E-2	14-11-20  17:12:29,184295	1,782332E+0
14-11-20  17:12:29,184299	8,417273E-2	14-11-20  17:12:29,184303	1,778744E+0
14-11-20  17:12:29,184307	8,444597E-2	14-11-20  17:12:29,184311	1,775809E+0
14-11-20  17:12:29,184315	8,540229E-2	14-11-20  17:12:29,184319	1,772547E+0
14-11-20  17:12:29,184323	8,649523E-2	14-11-20  17:12:29,184327	1,768960E+0
14-11-20  17:12:29,184331	8,704170E-2	14-11-20  17:12:29,184335	1,766024E+0
14-11-20  17:12:29,184339	8,751986E-2	14-11-20  17:12:29,184343	1,763741E+0
14-11-20  17:12:29,184347	8,765648E-2	14-11-20  17:12:29,184351	1,761132E+0
14-11-20  17:12:29,184355	8,786140E-2	14-11-20  17:12:29,184359	1,758197E+0
14-11-20  17:12:29,184363	8,847618E-2	14-11-20  17:12:29,184367	1,755914E+0
14-11-20  17:12:29,184371	8,895434E-2	14-11-20  17:12:29,184375	1,753630E+0
14-11-20  17:12:29,184379	8,861280E-2	14-11-20  17:12:29,184383	1,750695E+0
14-11-20  17:12:29,184387	8,963743E-2	14-11-20  17:12:29,184391	1,748412E+0
14-11-20  17:12:29,184395	8,956912E-2	14-11-20  17:12:29,184399	1,747107E+0
