time	V(a)-1.5	V(b)-3	V(c)-4.5	V(d)-6	V(out)
0.000000000000000e+000	-5.000000e-001	-2.000000e+000	-3.500000e+000	-5.000000e+000	9.999864e-001
9.999999824516700e-015	-5.100000e-001	-2.010000e+000	-3.510000e+000	-5.010000e+000	9.999864e-001
1.999999964903340e-014	-5.200000e-001	-2.020000e+000	-3.520000e+000	-5.020000e+000	9.999864e-001
3.999999929806680e-014	-5.400000e-001	-2.040000e+000	-3.540000e+000	-5.040000e+000	9.999863e-001
7.999999859613360e-014	-5.800000e-001	-2.080000e+000	-3.580000e+000	-5.080000e+000	9.999862e-001
1.599999971922672e-013	-6.600000e-001	-2.160000e+000	-3.660000e+000	-5.160000e+000	9.999861e-001
3.199999943845344e-013	-8.200000e-001	-2.320000e+000	-3.820000e+000	-5.320000e+000	9.999859e-001
6.399999887690688e-013	-1.140000e+000	-2.640000e+000	-4.140000e+000	-5.640000e+000	9.999853e-001
1.000000000000000e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999848e-001
1.037464308755160e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999848e-001
1.112392926265479e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999848e-001
1.262250161286118e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999848e-001
1.461632870117403e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999848e-001
1.724653993880030e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999848e-001
2.250696241405283e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999849e-001
3.302780736455789e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999849e-001
5.406949726556801e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999851e-001
9.615287706758824e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999856e-001
1.695562584126862e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999865e-001
2.475810498669458e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999874e-001
3.524381931040513e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999878e-001
4.896391463170920e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999863e-001
6.162484205936679e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999832e-001
8.067308609026336e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999771e-001
9.848911519434929e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999708e-001
1.264810184816897e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999607e-001
1.677272373477143e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999455e-001
2.315076813705346e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999222e-001
3.590685694161751e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.998754e-001
6.141903455074562e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.997818e-001
1.124433897690018e-009	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.995949e-001
2.144921002055143e-009	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.992208e-001
4.185895210785391e-009	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.984729e-001
8.267843628245887e-009	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.969773e-001
1.563842576332411e-007	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.428018e-001
3.045006716382363e-007	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.895084e-001
4.526170856432314e-007	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.370970e-001
6.007334996482266e-007	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	7.855678e-001
7.488499136532218e-007	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	7.349206e-001
8.969663276582169e-007	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	6.851554e-001
1.045082741663212e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	6.362724e-001
1.850657282038630e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.957764e-001
2.523471262609381e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.415571e-001
3.309775012412179e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.218139e-001
3.828061790168767e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	7.234929e-002
4.195963351621469e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	5.076207e-002
4.618675064363553e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.419166e-002
5.044467551325509e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.281506e-002
5.508209902526141e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.473938e-002
6.042325498417192e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.919975e-003
6.647684277571290e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	5.072570e-003
7.409918080935168e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.526714e-003
8.363222502657398e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.080915e-003
9.698183746935103e-006	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.599940e-004
1.166741188785210e-005	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.726708e-005
1.512064798614918e-005	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.193325e-005
3.584006457593165e-005	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.090057e-005
4.967781899051935e-003	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.085976e-005
5.000000001000001e-003	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.094230e-005
5.000000001100000e-003	-1.400000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.097067e-005
5.000000001300000e-003	-1.200000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.102704e-005
5.000000001603054e-003	-8.969468e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.110989e-005
5.000000001935952e-003	-5.640490e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.119668e-005
5.000000002000000e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.121220e-005
5.000000002014842e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.121210e-005
5.000000002044527e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.121132e-005
5.000000002103897e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.120972e-005
5.000000002222637e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.120731e-005
5.000000002362973e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.120429e-005
5.000000002643644e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.119684e-005
5.000000003204986e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.117755e-005
5.000000004327669e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.112811e-005
5.000000006573037e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.101237e-005
5.000000011063772e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.076387e-005
5.000000019720038e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.040328e-005
5.000000037032570e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.072523e-005
5.000000058752729e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.354016e-005
5.000000083846986e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.946195e-005
5.000000110400207e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	5.708855e-005
5.000000134369287e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	6.423069e-005
5.000000172330471e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	7.556523e-005
5.000000248252840e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.825669e-005
5.000000400097578e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.436750e-004
5.000000703787053e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.345585e-004
5.000001283846915e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.081957e-004
5.000002281332688e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	7.068079e-004
5.000004052304299e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.236924e-003
5.000007432816368e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.248524e-003
5.000014193840506e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.270365e-003
5.000027715888782e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.308487e-003
5.000054759985335e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.636239e-002
5.000108848178441e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.238089e-002
5.000217024564653e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	6.406200e-002
5.000433377337077e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.260056e-001
5.000866082881925e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.439927e-001
5.001731493971620e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.540554e-001
5.003051739497886e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	7.030409e-001
5.004507295718730e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.731647e-001
5.006080447596572e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.587034e-001
5.007565675847262e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.874198e-001
5.009267612684912e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.965550e-001
5.011424507617746e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.992728e-001
5.015008631645327e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999244e-001
5.021060549395567e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999835e-001
5.033164384896049e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999774e-001
5.183912397898938e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
5.808912397898938e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
6.433912397898939e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
7.058912397898940e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
7.683912397898941e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
8.308912397898941e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
8.933912397898942e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
9.558912397898941e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
9.921875000000000e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
1.000000000000000e-002	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999784e-001
1.000000000010000e-002	-5.999998e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999784e-001
1.000000000030000e-002	-7.999996e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999783e-001
1.000000000070000e-002	-1.199999e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999782e-001
1.000000000100000e-002	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999781e-001
1.000000000103124e-002	-1.500000e+000	-2.968761e+000	-4.500000e+000	-6.000000e+000	9.999782e-001
1.000000000109372e-002	-1.500000e+000	-2.906283e+000	-4.500000e+000	-6.000000e+000	9.999782e-001
1.000000000121867e-002	-1.500000e+000	-2.781328e+000	-4.500000e+000	-6.000000e+000	9.999783e-001
