time	V(a)-1.5	V(b)-3	V(c)-4.5	V(d)-6	V(out)
0.000000000000000e+000	-5.000000e-001	-2.000000e+000	-3.500000e+000	-5.000000e+000	9.999864e-001
9.999999824516700e-015	-5.100000e-001	-2.010000e+000	-3.510000e+000	-5.010000e+000	9.985986e-001
1.999999964903340e-014	-5.200000e-001	-2.020000e+000	-3.520000e+000	-5.020000e+000	9.970036e-001
3.999999929806680e-014	-5.400000e-001	-2.040000e+000	-3.540000e+000	-5.040000e+000	9.934866e-001
7.999999859613360e-014	-5.800000e-001	-2.080000e+000	-3.580000e+000	-5.080000e+000	9.862909e-001
1.599999971922672e-013	-6.600000e-001	-2.160000e+000	-3.660000e+000	-5.160000e+000	9.722759e-001
3.199999943845344e-013	-8.200000e-001	-2.320000e+000	-3.820000e+000	-5.320000e+000	9.457165e-001
6.399999887690688e-013	-1.140000e+000	-2.640000e+000	-4.140000e+000	-5.640000e+000	8.950393e-001
1.000000000000000e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.395659e-001
1.037501796491895e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.401942e-001
1.112505389475684e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.424208e-001
1.262512575443263e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.478041e-001
1.462284097366134e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.548144e-001
1.725837588098365e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.634804e-001
2.252944569562828e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.791694e-001
3.307158532491752e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.059528e-001
5.415586458349602e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.483337e-001
9.632442310065301e-012	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.008239e+000
1.664605307072714e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.066288e+000
2.425467413145189e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.088488e+000
3.444711289198714e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.047938e+000
4.660313392132405e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	8.659184e-001
5.942405128035849e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	5.516691e-001
7.075893618143726e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.903382e-001
8.539543537699660e-011	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.877803e-002
1.012628286875215e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.645761e-002
1.203336652482426e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	7.386941e-003
1.408097268376049e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.484561e-003
1.817618500163293e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.326046e-004
2.366521343756034e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.701863e-005
3.464327030941516e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.476520e-005
5.414585875464498e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.931371e-005
9.315103564510463e-010	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.157198e-005
1.711613894260239e-009	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.056500e-005
3.271820969878624e-009	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.103076e-005
6.392235121115396e-009	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.080255e-005
4.921875001000001e-003	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	4.087689e-005
5.000000001000001e-003	-1.500000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	-1.244231e-004
5.000000001100000e-003	-1.400000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.717314e-003
5.000000001300000e-003	-1.200000e+000	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.108469e-002
5.000000001603514e-003	-8.964862e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.141289e-002
5.000000001936698e-003	-5.633022e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.169245e-002
5.000000002000000e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.341125e-002
5.000000002014764e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.324143e-002
5.000000002044290e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.289228e-002
5.000000002103343e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.229585e-002
5.000000002221448e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.126714e-002
5.000000002361150e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.008427e-002
5.000000002640553e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.773294e-002
5.000000003199359e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.313813e-002
5.000000004316972e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	1.448020e-002
5.000000006552197e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	-5.000576e-004
5.000000011022648e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	-2.193323e-002
5.000000019963550e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	-3.797839e-002
5.000000035062643e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	2.582254e-002
5.000000057287397e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	3.042125e-001
5.000000081748138e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	7.017825e-001
5.000000100028964e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.038565e-001
5.000000120588107e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.808929e-001
5.000000142363550e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.968339e-001
5.000000168744540e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.994590e-001
5.000000221506522e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999307e-001
5.000000327030484e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999707e-001
5.000000538078408e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999730e-001
5.000000960174255e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999778e-001
5.000001760209464e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999778e-001
5.000003172902667e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
5.000005612871748e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999783e-001
5.000010492809909e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
5.000020252686231e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999784e-001
5.000039772438876e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
5.000078811944166e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
5.625328787347378e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
6.250578762750591e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
6.875828738153803e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
7.501078713557015e-003	-5.000000e-001	-3.000000e+000	-4.500000e+000	-6.000000e+000	9.999785e-001
