time	V(bit_1)-1.5	V(bit_2)-3	V(bit_3)-4.5	V(clk)	V(reset)-6
0.000000000000000e+000	-1.499775e+000	-2.999702e+000	-4.499702e+000	0.000000e+000	-6.000000e+000
1.000000000000000e-009	-1.499775e+000	-2.999702e+000	-4.499702e+000	0.000000e+000	-6.000000e+000
1.000056250000000e-009	-1.498160e+000	-2.998108e+000	-4.498108e+000	5.625000e-002	-6.000000e+000
1.000168749999999e-009	-1.495532e+000	-2.995547e+000	-4.495546e+000	1.687500e-001	-6.000000e+000
1.000393749999998e-009	-1.491109e+000	-2.991312e+000	-4.491310e+000	3.937500e-001	-6.000000e+000
1.000604575332215e-009	-1.487402e+000	-2.987776e+000	-4.487774e+000	6.045753e-001	-6.000000e+000
1.001000000000000e-009	-1.481253e+000	-2.981876e+000	-4.481874e+000	1.000000e+000	-6.000000e+000
1.001039542466779e-009	-1.481783e+000	-2.982385e+000	-4.482383e+000	1.000000e+000	-6.000000e+000
1.001118627400336e-009	-1.482405e+000	-2.982957e+000	-4.482956e+000	1.000000e+000	-6.000000e+000
1.001276797267450e-009	-1.483064e+000	-2.983495e+000	-4.483494e+000	1.000000e+000	-6.000000e+000
1.001593137001677e-009	-1.484122e+000	-2.984286e+000	-4.484286e+000	1.000000e+000	-6.000000e+000
1.002225816470133e-009	-1.486082e+000	-2.985682e+000	-4.485683e+000	1.000000e+000	-6.000000e+000
1.003491175407043e-009	-1.489541e+000	-2.987968e+000	-4.487970e+000	1.000000e+000	-6.000000e+000
1.006021893280865e-009	-1.495115e+000	-2.991263e+000	-4.491264e+000	1.000000e+000	-6.000000e+000
1.011083329028508e-009	-1.502535e+000	-2.995294e+000	-4.495294e+000	1.000000e+000	-6.000000e+000
1.021206200523795e-009	-1.505978e+000	-2.999619e+000	-4.499618e+000	1.000000e+000	-6.000000e+000
1.034272011912882e-009	-1.487855e+000	-3.001914e+000	-4.501916e+000	1.000000e+000	-6.000000e+000
1.048100698789412e-009	-1.442140e+000	-3.001988e+000	-4.501996e+000	1.000000e+000	-6.000000e+000
1.065827001694213e-009	-1.361258e+000	-3.001058e+000	-4.501070e+000	1.000000e+000	-6.000000e+000
1.085472933385678e-009	-1.262972e+000	-3.000329e+000	-4.500338e+000	1.000000e+000	-6.000000e+000
1.111985184623940e-009	-1.132719e+000	-2.999916e+000	-4.499907e+000	1.000000e+000	-6.000000e+000
1.141282059623940e-009	-1.002759e+000	-2.999790e+000	-4.499738e+000	1.000000e+000	-6.000000e+000
1.170578934623940e-009	-8.914939e-001	-2.999791e+000	-4.499691e+000	1.000000e+000	-6.000000e+000
1.199875809623940e-009	-7.982255e-001	-2.999662e+000	-4.499683e+000	1.000000e+000	-6.000000e+000
1.229172684623940e-009	-7.202064e-001	-2.998812e+000	-4.499684e+000	1.000000e+000	-6.000000e+000
1.258469559623940e-009	-6.549872e-001	-2.996738e+000	-4.499687e+000	1.000000e+000	-6.000000e+000
1.287766434623940e-009	-6.005721e-001	-2.994736e+000	-4.499692e+000	1.000000e+000	-6.000000e+000
1.317063309623940e-009	-5.560524e-001	-2.995807e+000	-4.499704e+000	1.000000e+000	-6.000000e+000
1.346360184623940e-009	-5.229644e-001	-3.000305e+000	-4.499716e+000	1.000000e+000	-6.000000e+000
1.375657059623939e-009	-5.027411e-001	-3.004360e+000	-4.499714e+000	1.000000e+000	-6.000000e+000
1.404953934623939e-009	-4.930818e-001	-3.005280e+000	-4.499699e+000	1.000000e+000	-6.000000e+000
1.430693147948241e-009	-4.900012e-001	-3.004219e+000	-4.499686e+000	1.000000e+000	-6.000000e+000
1.454824856316966e-009	-4.896129e-001	-3.002793e+000	-4.499680e+000	1.000000e+000	-6.000000e+000
1.472179916041769e-009	-4.902426e-001	-3.001799e+000	-4.499680e+000	1.000000e+000	-6.000000e+000
1.492098479619194e-009	-4.914590e-001	-3.000872e+000	-4.499687e+000	1.000000e+000	-6.000000e+000
1.509910960695167e-009	-4.926769e-001	-3.000333e+000	-4.499696e+000	1.000000e+000	-6.000000e+000
1.528458568010384e-009	-4.939058e-001	-2.999996e+000	-4.499704e+000	1.000000e+000	-6.000000e+000
1.552624493072133e-009	-4.953262e-001	-2.999720e+000	-4.499708e+000	1.000000e+000	-6.000000e+000
1.581921368072133e-009	-4.967481e-001	-2.999534e+000	-4.499709e+000	1.000000e+000	-6.000000e+000
1.611218243072133e-009	-4.978435e-001	-2.999459e+000	-4.499707e+000	1.000000e+000	-6.000000e+000
1.640515118072133e-009	-4.986411e-001	-2.999442e+000	-4.499705e+000	1.000000e+000	-6.000000e+000
