time	V(bit_1)-1.5	V(bit_2)-3	V(bit_3)-4.5	V(clk)	V(reset)-6
0.000000000000000e+000	-1.499775e+000	-2.999702e+000	-4.499702e+000	0.000000e+000	-6.000000e+000
2.500000000000000e-010	-1.499775e+000	-2.999702e+000	-4.499702e+000	0.000000e+000	-6.000000e+000
2.501000000000000e-010	-1.497238e+000	-2.997217e+000	-4.497217e+000	1.000000e-001	-6.000000e+000
2.503000000000000e-010	-1.492956e+000	-2.993080e+000	-4.493079e+000	3.000000e-001	-6.000000e+000
2.506000000000000e-010	-1.487557e+000	-2.987917e+000	-4.487915e+000	6.000000e-001	-6.000000e+000
2.510000000000000e-010	-1.481173e+000	-2.981792e+000	-4.481790e+000	1.000000e+000	-6.000000e+000
2.510400000000000e-010	-1.481755e+000	-2.982351e+000	-4.482349e+000	1.000000e+000	-6.000000e+000
2.511200000000000e-010	-1.482419e+000	-2.982963e+000	-4.482962e+000	1.000000e+000	-6.000000e+000
2.512800000000000e-010	-1.483091e+000	-2.983512e+000	-4.483511e+000	1.000000e+000	-6.000000e+000
2.516000000000000e-010	-1.484158e+000	-2.984310e+000	-4.484309e+000	1.000000e+000	-6.000000e+000
2.522400000000001e-010	-1.486137e+000	-2.985718e+000	-4.485719e+000	1.000000e+000	-6.000000e+000
2.535200000000002e-010	-1.489626e+000	-2.988020e+000	-4.488021e+000	1.000000e+000	-6.000000e+000
2.560800000000003e-010	-1.495235e+000	-2.991329e+000	-4.491330e+000	1.000000e+000	-6.000000e+000
2.612000000000006e-010	-1.502751e+000	-2.995386e+000	-4.495386e+000	1.000000e+000	-6.000000e+000
2.709656250000006e-010	-1.507732e+000	-2.999736e+000	-4.499735e+000	1.000000e+000	-6.000000e+000
2.807312500000006e-010	-1.498634e+000	-3.001866e+000	-4.501866e+000	1.000000e+000	-6.000000e+000
2.904968750000006e-010	-1.472852e+000	-3.002310e+000	-4.502315e+000	1.000000e+000	-6.000000e+000
3.002625000000007e-010	-1.434580e+000	-3.001870e+000	-4.501880e+000	1.000000e+000	-6.000000e+000
3.100281250000007e-010	-1.389604e+000	-3.001256e+000	-4.501268e+000	1.000000e+000	-6.000000e+000
3.197937500000007e-010	-1.341347e+000	-3.000758e+000	-4.500771e+000	1.000000e+000	-6.000000e+000
3.295593750000007e-010	-1.291469e+000	-3.000405e+000	-4.500415e+000	1.000000e+000	-6.000000e+000
3.393250000000007e-010	-1.241024e+000	-3.000165e+000	-4.500171e+000	1.000000e+000	-6.000000e+000
3.490906250000007e-010	-1.190966e+000	-3.000003e+000	-4.500006e+000	1.000000e+000	-6.000000e+000
3.588562500000007e-010	-1.142303e+000	-2.999895e+000	-4.499895e+000	1.000000e+000	-6.000000e+000
3.686218750000007e-010	-1.095878e+000	-2.999824e+000	-4.499820e+000	1.000000e+000	-6.000000e+000
3.783875000000007e-010	-1.051808e+000	-2.999785e+000	-4.499770e+000	1.000000e+000	-6.000000e+000
3.881531250000007e-010	-1.009642e+000	-2.999780e+000	-4.499737e+000	1.000000e+000	-6.000000e+000
3.979187500000008e-010	-9.694436e-001	-2.999795e+000	-4.499715e+000	1.000000e+000	-6.000000e+000
4.076843750000008e-010	-9.317722e-001	-2.999808e+000	-4.499701e+000	1.000000e+000	-6.000000e+000
4.174500000000008e-010	-8.966987e-001	-2.999811e+000	-4.499692e+000	1.000000e+000	-6.000000e+000
4.272156250000008e-010	-8.639296e-001	-2.999808e+000	-4.499687e+000	1.000000e+000	-6.000000e+000
4.369812500000008e-010	-8.331745e-001	-2.999801e+000	-4.499685e+000	1.000000e+000	-6.000000e+000
4.467468750000008e-010	-8.038284e-001	-2.999787e+000	-4.499684e+000	1.000000e+000	-6.000000e+000
4.565125000000008e-010	-7.754804e-001	-2.999744e+000	-4.499684e+000	1.000000e+000	-6.000000e+000
4.662781250000008e-010	-7.485307e-001	-2.999621e+000	-4.499684e+000	1.000000e+000	-6.000000e+000
4.760437500000008e-010	-7.235406e-001	-2.999335e+000	-4.499685e+000	1.000000e+000	-6.000000e+000
4.858093750000008e-010	-7.003946e-001	-2.998845e+000	-4.499685e+000	1.000000e+000	-6.000000e+000
4.912343750000000e-010	-6.882420e-001	-2.998479e+000	-4.499685e+000	1.000000e+000	-6.000000e+000
4.922343750000000e-010	-6.860789e-001	-2.998399e+000	-4.499685e+000	1.000000e+000	-6.000000e+000
4.942343750000000e-010	-6.818295e-001	-2.998221e+000	-4.499685e+000	1.000000e+000	-6.000000e+000
4.970000000000000e-010	-6.760085e-001	-2.997963e+000	-4.499684e+000	1.000000e+000	-6.000000e+000
