time	-I(R2)	I(R1)
0.000000000000000e+000	6.763276e-003	6.763276e-005
2.285714245603818e-014	6.322041e-003	6.322041e-005
4.571428491207636e-014	5.884398e-003	5.884398e-005
6.857142736811454e-014	5.450345e-003	5.450345e-005
9.142856982415272e-014	5.019883e-003	5.019883e-005
1.142857122801909e-013	4.593011e-003	4.593011e-005
1.371428547362291e-013	4.169731e-003	4.169731e-005
1.599999971922672e-013	3.750041e-003	3.750042e-005
3.199999943845344e-013	1.683306e-003	1.683306e-005
6.399999887690688e-013	2.351371e-004	2.351370e-006
1.000000000000000e-012	2.000100e-012	-2.500101e-012
5.000000010000000e-004	2.000100e-012	-2.500101e-012
5.000000011000000e-004	1.800896e-012	-2.100093e-012
5.000000012999999e-004	2.014281e-004	2.014280e-006
5.000000017000000e-004	2.536258e-003	2.536258e-005
5.000000020000000e-004	6.761909e-003	6.761909e-005
1.000000000000000e-003	6.763276e-003	6.763276e-005
1.000000000100000e-003	4.880386e-003	4.880386e-005
1.000000000300000e-003	2.220670e-003	2.220670e-005
1.000000000700000e-003	2.589954e-004	2.589952e-006
1.000000001000000e-003	2.000100e-012	-2.500101e-012
1.500000001000000e-003	2.000100e-012	-2.500101e-012
1.500000001100000e-003	1.800896e-012	-2.100093e-012
1.500000001300000e-003	2.014282e-004	2.014280e-006
1.500000001700000e-003	2.536258e-003	2.536258e-005
1.500000002000000e-003	6.761909e-003	6.761909e-005
2.000000000000000e-003	6.763276e-003	6.763276e-005
2.000000000100000e-003	4.880391e-003	4.880391e-005
2.000000000300000e-003	2.220670e-003	2.220671e-005
2.000000000700000e-003	2.589954e-004	2.589952e-006
2.000000001000000e-003	2.000100e-012	-2.500101e-012
2.500000001000000e-003	2.000100e-012	-2.500101e-012
2.500000001100000e-003	1.800896e-012	-2.100094e-012
2.500000001300000e-003	2.014283e-004	2.014282e-006
2.500000001700000e-003	2.536258e-003	2.536258e-005
2.500000002000000e-003	6.761909e-003	6.761909e-005
3.000000000000000e-003	6.763276e-003	6.763276e-005
3.000000000100000e-003	4.880391e-003	4.880391e-005
3.000000000300000e-003	2.220670e-003	2.220671e-005
3.000000000700000e-003	2.589954e-004	2.589952e-006
3.000000001000000e-003	2.000100e-012	-2.500101e-012
3.500000001000000e-003	2.000100e-012	-2.500101e-012
3.500000001100000e-003	1.800896e-012	-2.100094e-012
3.500000001300000e-003	2.014283e-004	2.014282e-006
3.500000001700000e-003	2.536258e-003	2.536258e-005
3.500000002000000e-003	6.761909e-003	6.761909e-005
3.793454648518542e-003	6.763276e-003	6.763276e-005
4.000000000000000e-003	6.763276e-003	6.763276e-005
4.000000000100000e-003	4.880391e-003	4.880390e-005
4.000000000300000e-003	2.220676e-003	2.220676e-005
4.000000000700000e-003	2.589969e-004	2.589968e-006
4.000000001000001e-003	2.000100e-012	-2.500101e-012
4.500000001000000e-003	2.000100e-012	-2.500101e-012
4.500000001100000e-003	1.800896e-012	-2.100094e-012
4.500000001300000e-003	2.014258e-004	2.014257e-006
4.500000001699999e-003	2.536247e-003	2.536247e-005
4.500000002000000e-003	6.761901e-003	6.761901e-005
4.997065542380461e-003	6.763276e-003	6.763276e-005
5.000000000000000e-003	6.763276e-003	6.763276e-005
