time	V(in,-)	V(out)	V(in,+)
0.000000000000000e+000	2.000000e+000	1.545418e+000	0.000000e+000
5.766087359602030e-006	2.000000e+000	1.542650e+000	5.766087e-002
1.153217471920406e-005	2.000000e+000	1.540041e+000	1.153217e-001
1.729826207880609e-005	2.000000e+000	1.537592e+000	1.729826e-001
2.306434943840812e-005	2.000000e+000	1.535302e+000	2.306435e-001
2.883043679801015e-005	2.000000e+000	1.533171e+000	2.883044e-001
3.459652415761218e-005	2.000000e+000	1.531200e+000	3.459652e-001
4.036261151721420e-005	2.000000e+000	1.529388e+000	4.036261e-001
4.622198651721420e-005	2.000000e+000	1.527806e+000	4.622199e-001
5.208136151721419e-005	2.000000e+000	1.526402e+000	5.208136e-001
5.794073651721419e-005	2.000000e+000	1.525200e+000	5.794074e-001
6.380011151721420e-005	2.000000e+000	1.524254e+000	6.380011e-001
6.965948651721420e-005	2.000000e+000	1.523632e+000	6.965949e-001
7.551886151721421e-005	2.000000e+000	1.523341e+000	7.551886e-001
8.137823651721421e-005	2.000000e+000	1.523291e+000	8.137824e-001
8.723761151721422e-005	2.000000e+000	1.523363e+000	8.723761e-001
9.309698651721422e-005	2.000000e+000	1.523497e+000	9.309699e-001
9.895636151721423e-005	2.000000e+000	1.523686e+000	9.895636e-001
1.073268972315000e-004	2.000000e+000	1.523721e+000	1.073269e+000
1.156974329457857e-004	2.000000e+000	1.524208e+000	1.156974e+000
1.240679686600714e-004	2.000000e+000	1.525147e+000	1.240680e+000
1.324385043743571e-004	2.000000e+000	1.526538e+000	1.324385e+000
1.408090400886428e-004	2.000000e+000	1.528381e+000	1.408090e+000
1.491795758029286e-004	2.000000e+000	1.530676e+000	1.491796e+000
1.575501115172143e-004	2.000000e+000	1.533423e+000	1.575501e+000
1.751282365172143e-004	2.000000e+000	1.545524e+000	1.751282e+000
1.868469865172143e-004	2.000000e+000	1.561007e+000	1.868470e+000
1.927063615172143e-004	2.000000e+000	1.576624e+000	1.927064e+000
1.992981583922143e-004	2.000000e+000	1.610015e+000	1.992982e+000
2.007630021422143e-004	2.000000e+000	1.670118e+000	2.007630e+000
2.018790752924313e-004	2.000000e+000	1.889374e+000	2.018791e+000
2.029871603432916e-004	2.000000e+000	2.422248e+000	2.029872e+000
2.043030445136354e-004	2.000000e+000	3.131143e+000	2.043031e+000
2.053271701710386e-004	2.000000e+000	3.376773e+000	2.053272e+000
2.066108951734023e-004	2.000000e+000	3.407296e+000	2.066109e+000
2.130250647385164e-004	2.000000e+000	3.425797e+000	2.130251e+000
2.194392343036305e-004	2.000000e+000	3.441087e+000	2.194392e+000
2.258534038687446e-004	2.000000e+000	3.453165e+000	2.258534e+000
2.322675734338588e-004	2.000000e+000	3.462032e+000	2.322676e+000
2.386817429989729e-004	2.000000e+000	3.467688e+000	2.386817e+000
2.450959125640870e-004	2.000000e+000	3.470132e+000	2.450959e+000
2.515100821292012e-004	2.000000e+000	3.469366e+000	2.515101e+000
2.623917785577726e-004	2.000000e+000	3.472243e+000	2.623918e+000
2.732734749863440e-004	2.000000e+000	3.474513e+000	2.732735e+000
2.841551714149155e-004	2.000000e+000	3.476173e+000	2.841552e+000
2.950368678434869e-004	2.000000e+000	3.477225e+000	2.950369e+000
3.059185642720584e-004	2.000000e+000	3.477669e+000	3.059186e+000
3.168002607006298e-004	2.000000e+000	3.477503e+000	3.168003e+000
3.276819571292012e-004	2.000000e+000	3.476730e+000	3.276819e+000
5.003355452386593e-004	2.000000e+000	3.476730e+000	4.996644e+000
7.216749191170956e-004	2.000000e+000	3.476427e+000	2.783251e+000
7.392530441170957e-004	2.000000e+000	3.473489e+000	2.607470e+000
7.476235798313814e-004	2.000000e+000	3.474775e+000	2.523764e+000
7.559941155456671e-004	2.000000e+000	3.472304e+000	2.440059e+000
7.643646512599529e-004	2.000000e+000	3.466075e+000	2.356353e+000
7.727351869742386e-004	2.000000e+000	3.456088e+000	2.272648e+000
7.811057226885243e-004	2.000000e+000	3.442344e+000	2.188943e+000
7.894762584028100e-004	2.000000e+000	3.424841e+000	2.105237e+000
7.978467941170957e-004	2.000000e+000	3.403581e+000	2.021532e+000
8.000440597420957e-004	2.000000e+000	3.368862e+000	1.999559e+000
8.015909720011631e-004	2.000000e+000	3.170489e+000	1.984090e+000
8.028124508073762e-004	2.000000e+000	2.659891e+000	1.971876e+000
8.042125936785027e-004	2.000000e+000	1.864968e+000	1.957874e+000
8.049716445760929e-004	2.000000e+000	1.633070e+000	1.950284e+000
8.055196061778899e-004	2.000000e+000	1.604997e+000	1.944804e+000
8.075271445872951e-004	2.000000e+000	1.584696e+000	1.924729e+000
8.130348567463878e-004	2.000000e+000	1.570506e+000	1.869651e+000
8.185425689054806e-004	2.000000e+000	1.558592e+000	1.814574e+000
8.240502810645733e-004	2.000000e+000	1.548953e+000	1.759497e+000
8.295579932236661e-004	2.000000e+000	1.541590e+000	1.704420e+000
8.350657053827588e-004	2.000000e+000	1.536503e+000	1.649343e+000
8.405734175418515e-004	2.000000e+000	1.533691e+000	1.594266e+000
8.460811297009443e-004	2.000000e+000	1.533156e+000	1.539189e+000
8.577998797009443e-004	2.000000e+000	1.528995e+000	1.422001e+000
8.988155047009443e-004	2.000000e+000	1.523909e+000	1.011845e+000
9.046748797009443e-004	2.000000e+000	1.523665e+000	9.532512e-001
9.105342547009443e-004	2.000000e+000	1.523482e+000	8.946575e-001
9.163936297009443e-004	2.000000e+000	1.523353e+000	8.360637e-001
9.222530047009443e-004	2.000000e+000	1.523292e+000	7.774700e-001
9.281123797009443e-004	2.000000e+000	1.523361e+000	7.188762e-001
9.339717547009443e-004	2.000000e+000	1.523678e+000	6.602825e-001
9.398311297009443e-004	2.000000e+000	1.524332e+000	6.016887e-001
9.456905047009444e-004	2.000000e+000	1.525306e+000	5.430950e-001
9.515498797009444e-004	2.000000e+000	1.526532e+000	4.845012e-001
9.574092547009444e-004	2.000000e+000	1.527956e+000	4.259075e-001
9.632686297009444e-004	2.000000e+000	1.529556e+000	3.673137e-001
9.749873797009444e-004	2.000000e+000	1.533294e+000	2.501262e-001
9.925655047009444e-004	2.000000e+000	1.540546e+000	7.434496e-002
