time	V(in,-)	V(out)	V(in,+)
0.000000000000000e+000	0.000000e+000	3.454593e+000	2.000000e+000
5.981911885445406e-006	5.981912e-002	3.457472e+000	2.000000e+000
1.196382377089081e-005	1.196382e-001	3.460174e+000	2.000000e+000
1.794573565633622e-005	1.794574e-001	3.462700e+000	2.000000e+000
2.392764754178163e-005	2.392765e-001	3.465050e+000	2.000000e+000
2.990955942722703e-005	2.990956e-001	3.467223e+000	2.000000e+000
3.589147131267244e-005	3.589147e-001	3.469221e+000	2.000000e+000
4.187338319811783e-005	4.187338e-001	3.471042e+000	2.000000e+000
4.773275819811783e-005	4.773276e-001	3.472578e+000	2.000000e+000
5.359213319811783e-005	5.359213e-001	3.473933e+000	2.000000e+000
5.945150819811783e-005	5.945151e-001	3.475075e+000	2.000000e+000
6.531088319811783e-005	6.531088e-001	3.475943e+000	2.000000e+000
7.117025819811783e-005	7.117026e-001	3.476477e+000	2.000000e+000
7.702963319811784e-005	7.702963e-001	3.476694e+000	2.000000e+000
8.288900819811784e-005	8.288901e-001	3.476702e+000	2.000000e+000
8.874838319811785e-005	8.874838e-001	3.476611e+000	2.000000e+000
9.460775819811785e-005	9.460776e-001	3.476463e+000	2.000000e+000
1.004671331981179e-004	1.004671e+000	3.476259e+000	2.000000e+000
1.088376689124036e-004	1.088377e+000	3.476229e+000	2.000000e+000
1.172082046266893e-004	1.172082e+000	3.475713e+000	2.000000e+000
1.255787403409750e-004	1.255787e+000	3.474711e+000	2.000000e+000
1.339492760552608e-004	1.339493e+000	3.473222e+000	2.000000e+000
1.423198117695465e-004	1.423198e+000	3.471246e+000	2.000000e+000
1.506903474838322e-004	1.506903e+000	3.468784e+000	2.000000e+000
1.590608831981179e-004	1.590609e+000	3.465835e+000	2.000000e+000
1.640832046266893e-004	1.640832e+000	3.465076e+000	2.000000e+000
1.691055260552608e-004	1.691055e+000	3.462186e+000	2.000000e+000
1.741278474838322e-004	1.741278e+000	3.457164e+000	2.000000e+000
1.791501689124036e-004	1.791502e+000	3.450011e+000	2.000000e+000
1.841724903409751e-004	1.841725e+000	3.440727e+000	2.000000e+000
1.891948117695465e-004	1.891948e+000	3.429312e+000	2.000000e+000
1.942171331981179e-004	1.942171e+000	3.415765e+000	2.000000e+000
2.000765081981179e-004	2.000765e+000	3.043128e+000	2.000000e+000
2.031280240767862e-004	2.031280e+000	2.436843e+000	2.000000e+000
2.065806285155800e-004	2.065806e+000	1.596091e+000	2.000000e+000
2.079124502024990e-004	2.079125e+000	1.586275e+000	2.000000e+000
2.092442718894181e-004	2.092443e+000	1.578057e+000	2.000000e+000
2.105760935763371e-004	2.105761e+000	1.571436e+000	2.000000e+000
2.119079152632561e-004	2.119079e+000	1.566411e+000	2.000000e+000
2.132397369501751e-004	2.132397e+000	1.562984e+000	2.000000e+000
2.145715586370941e-004	2.145716e+000	1.561154e+000	2.000000e+000
2.159033803240131e-004	2.159034e+000	1.560922e+000	2.000000e+000
2.292171530425246e-004	2.292172e+000	1.547858e+000	2.000000e+000
2.425309257610362e-004	2.425309e+000	1.537356e+000	2.000000e+000
2.558446984795477e-004	2.558447e+000	1.529416e+000	2.000000e+000
2.691584711980592e-004	2.691585e+000	1.524037e+000	2.000000e+000
2.824722439165707e-004	2.824723e+000	1.521220e+000	2.000000e+000
2.957860166350823e-004	2.957860e+000	1.520965e+000	2.000000e+000
3.090997893535938e-004	3.090998e+000	1.523272e+000	2.000000e+000
5.003355452386593e-004	4.996644e+000	1.523272e+000	2.000000e+000
7.216749191170956e-004	2.783251e+000	1.523574e+000	2.000000e+000
7.392530441170957e-004	2.607470e+000	1.526513e+000	2.000000e+000
7.467865262599528e-004	2.532135e+000	1.526953e+000	2.000000e+000
7.543200084028100e-004	2.456800e+000	1.529506e+000	2.000000e+000
7.618534905456671e-004	2.381465e+000	1.534171e+000	2.000000e+000
7.693869726885243e-004	2.306130e+000	1.540950e+000	2.000000e+000
7.769204548313814e-004	2.230795e+000	1.549842e+000	2.000000e+000
7.844539369742386e-004	2.155461e+000	1.560847e+000	2.000000e+000
7.919874191170957e-004	2.080126e+000	1.573965e+000	2.000000e+000
7.985792159920957e-004	2.014208e+000	1.601956e+000	2.000000e+000
8.000440597420957e-004	1.999559e+000	1.624944e+000	2.000000e+000
8.012959941963099e-004	1.987040e+000	1.747002e+000	2.000000e+000
8.024052700200656e-004	1.975947e+000	2.125120e+000	2.000000e+000
8.036942827727157e-004	1.963057e+000	2.784893e+000	2.000000e+000
8.050279264096354e-004	1.949721e+000	3.266317e+000	2.000000e+000
8.062714961201757e-004	1.937285e+000	3.402434e+000	2.000000e+000
8.107874788709631e-004	1.892125e+000	3.420452e+000	2.000000e+000
8.153034616217503e-004	1.846965e+000	3.435316e+000	2.000000e+000
8.198194443725377e-004	1.801806e+000	3.447025e+000	2.000000e+000
8.243354271233250e-004	1.756646e+000	3.455580e+000	2.000000e+000
8.288514098741124e-004	1.711486e+000	3.460979e+000	2.000000e+000
8.333673926248998e-004	1.666326e+000	3.463224e+000	2.000000e+000
8.378833753756871e-004	1.621166e+000	3.462315e+000	2.000000e+000
8.554615003756871e-004	1.445385e+000	3.470359e+000	2.000000e+000
8.621579289471157e-004	1.378421e+000	3.471858e+000	2.000000e+000
8.688543575185442e-004	1.311456e+000	3.473137e+000	2.000000e+000
8.755507860899729e-004	1.244492e+000	3.474197e+000	2.000000e+000
8.822472146614015e-004	1.177528e+000	3.475038e+000	2.000000e+000
8.889436432328301e-004	1.110564e+000	3.475661e+000	2.000000e+000
8.956400718042586e-004	1.043599e+000	3.476064e+000	2.000000e+000
9.023365003756872e-004	9.766350e-001	3.476249e+000	2.000000e+000
9.081958753756872e-004	9.180412e-001	3.476455e+000	2.000000e+000
9.140552503756872e-004	8.594475e-001	3.476606e+000	2.000000e+000
9.199146253756872e-004	8.008537e-001	3.476698e+000	2.000000e+000
9.257740003756872e-004	7.422600e-001	3.476692e+000	2.000000e+000
9.316333753756872e-004	6.836662e-001	3.476489e+000	2.000000e+000
9.374927503756872e-004	6.250725e-001	3.475975e+000	2.000000e+000
9.433521253756872e-004	5.664787e-001	3.475121e+000	2.000000e+000
9.492115003756872e-004	5.078850e-001	3.473988e+000	2.000000e+000
9.550708753756872e-004	4.492913e-001	3.472639e+000	2.000000e+000
9.609302503756872e-004	3.906975e-001	3.471108e+000	2.000000e+000
9.667896253756872e-004	3.321038e-001	3.469404e+000	2.000000e+000
9.785083753756872e-004	2.149163e-001	3.465433e+000	2.000000e+000
9.941406260000000e-004	5.859375e-002	3.458632e+000	2.000000e+000
1.000000001000000e-003	0.000000e+000	3.455505e+000	2.000000e+000
1.005495879039464e-003	5.495878e-002	3.457698e+000	2.000000e+000
1.010991757078929e-003	1.099176e-001	3.459854e+000	2.000000e+000
1.016487635118393e-003	1.648763e-001	3.461972e+000	2.000000e+000
1.021983513157857e-003	2.198351e-001	3.464053e+000	2.000000e+000
1.027479391197321e-003	2.747939e-001	3.466096e+000	2.000000e+000
1.032975269236786e-003	3.297527e-001	3.468101e+000	2.000000e+000
1.038471147276250e-003	3.847115e-001	3.470069e+000	2.000000e+000
1.044330522276250e-003	4.433052e-001	3.471707e+000	2.000000e+000
1.050189897276250e-003	5.018989e-001	3.473170e+000	2.000000e+000
1.056049272276250e-003	5.604927e-001	3.474441e+000	2.000000e+000
1.061908647276250e-003	6.190864e-001	3.475477e+000	2.000000e+000
1.067768022276250e-003	6.776802e-001	3.476209e+000	2.000000e+000
1.073627397276250e-003	7.362739e-001	3.476601e+000	2.000000e+000
1.079486772276250e-003	7.948677e-001	3.476715e+000	2.000000e+000
1.085346147276250e-003	8.534614e-001	3.476672e+000	2.000000e+000
1.091205522276250e-003	9.120552e-001	3.476555e+000	2.000000e+000
1.097064897276250e-003	9.706489e-001	3.476384e+000	2.000000e+000
1.114643022276250e-003	1.146430e+000	3.475474e+000	2.000000e+000
1.120502397276250e-003	1.205024e+000	3.475160e+000	2.000000e+000
1.126361772276250e-003	1.263618e+000	3.474568e+000	2.000000e+000
1.132221147276250e-003	1.322212e+000	3.473699e+000	2.000000e+000
1.138080522276250e-003	1.380805e+000	3.472552e+000	2.000000e+000
1.143939897276250e-003	1.439399e+000	3.471128e+000	2.000000e+000
1.149799272276250e-003	1.497993e+000	3.469425e+000	2.000000e+000
1.155658647276250e-003	1.556587e+000	3.467445e+000	2.000000e+000
1.160680968704821e-003	1.606810e+000	3.465934e+000	2.000000e+000
1.165703290133393e-003	1.657033e+000	3.463137e+000	2.000000e+000
1.170725611561964e-003	1.707256e+000	3.459056e+000	2.000000e+000
1.175747932990536e-003	1.757479e+000	3.453689e+000	2.000000e+000
1.180770254419107e-003	1.807703e+000	3.447038e+000	2.000000e+000
1.185792575847679e-003	1.857926e+000	3.439102e+000	2.000000e+000
1.190814897276250e-003	1.908149e+000	3.429881e+000	2.000000e+000
1.196674272276250e-003	1.966743e+000	3.398439e+000	2.000000e+000
1.201173573241247e-003	2.011736e+000	2.977798e+000	2.000000e+000
1.203540642627143e-003	2.035406e+000	2.357332e+000	2.000000e+000
1.206250959962809e-003	2.062510e+000	1.600225e+000	2.000000e+000
1.206387988555865e-003	2.063880e+000	1.594123e+000	2.000000e+000
1.208666514097408e-003	2.086665e+000	1.582443e+000	2.000000e+000
1.210945039638951e-003	2.109450e+000	1.572629e+000	2.000000e+000
1.213223565180494e-003	2.132236e+000	1.564682e+000	2.000000e+000
1.215502090722037e-003	2.155021e+000	1.558601e+000	2.000000e+000
1.217780616263580e-003	2.177806e+000	1.554387e+000	2.000000e+000
1.220059141805123e-003	2.200591e+000	1.552039e+000	2.000000e+000
1.222337667346666e-003	2.223377e+000	1.551558e+000	2.000000e+000
1.235730524489523e-003	2.357305e+000	1.541521e+000	2.000000e+000
1.249123381632380e-003	2.491234e+000	1.533482e+000	2.000000e+000
1.262516238775237e-003	2.625162e+000	1.527443e+000	2.000000e+000
1.275909095918094e-003	2.759091e+000	1.523402e+000	2.000000e+000
1.289301953060952e-003	2.893020e+000	1.521360e+000	2.000000e+000
1.302694810203809e-003	3.026948e+000	1.521316e+000	2.000000e+000
1.316087667346666e-003	3.160877e+000	1.523272e+000	2.000000e+000
1.500335546238661e-003	4.996644e+000	1.523272e+000	2.000000e+000
1.721674920117098e-003	2.783251e+000	1.523574e+000	2.000000e+000
1.739253045117098e-003	2.607470e+000	1.526513e+000	2.000000e+000
1.746786527259955e-003	2.532135e+000	1.526953e+000	2.000000e+000
1.754320009402812e-003	2.456800e+000	1.529506e+000	2.000000e+000
1.761853491545669e-003	2.381465e+000	1.534171e+000	2.000000e+000
1.769386973688526e-003	2.306130e+000	1.540950e+000	2.000000e+000
1.776920455831384e-003	2.230795e+000	1.549842e+000	2.000000e+000
1.784453937974241e-003	2.155461e+000	1.560847e+000	2.000000e+000
1.791987420117098e-003	2.080126e+000	1.573965e+000	2.000000e+000
1.798579216992098e-003	2.014208e+000	1.601956e+000	2.000000e+000
1.800044060742098e-003	1.999559e+000	1.624944e+000	2.000000e+000
1.801295995189702e-003	1.987040e+000	1.747002e+000	2.000000e+000
1.802405271012982e-003	1.975947e+000	2.125120e+000	2.000000e+000
1.803694283764071e-003	1.963057e+000	2.784893e+000	2.000000e+000
1.805027927400111e-003	1.949721e+000	3.266317e+000	2.000000e+000
1.806271497104531e-003	1.937285e+000	3.402434e+000	2.000000e+000
1.810787479846074e-003	1.892125e+000	3.420452e+000	2.000000e+000
1.815303462587617e-003	1.846965e+000	3.435316e+000	2.000000e+000
1.819819445329161e-003	1.801806e+000	3.447025e+000	2.000000e+000
1.824335428070704e-003	1.756646e+000	3.455580e+000	2.000000e+000
1.828851410812248e-003	1.711486e+000	3.460979e+000	2.000000e+000
1.833367393553791e-003	1.666326e+000	3.463224e+000	2.000000e+000
1.837883376295334e-003	1.621166e+000	3.462315e+000	2.000000e+000
1.855461501295334e-003	1.445385e+000	3.470359e+000	2.000000e+000
1.862157929866763e-003	1.378421e+000	3.471858e+000	2.000000e+000
1.868854358438192e-003	1.311456e+000	3.473137e+000	2.000000e+000
1.875550787009620e-003	1.244492e+000	3.474197e+000	2.000000e+000
1.882247215581049e-003	1.177528e+000	3.475038e+000	2.000000e+000
1.888943644152477e-003	1.110564e+000	3.475661e+000	2.000000e+000
1.895640072723906e-003	1.043599e+000	3.476064e+000	2.000000e+000
1.902336501295334e-003	9.766350e-001	3.476249e+000	2.000000e+000
1.908195876295334e-003	9.180412e-001	3.476455e+000	2.000000e+000
1.914055251295334e-003	8.594475e-001	3.476606e+000	2.000000e+000
1.919914626295334e-003	8.008537e-001	3.476698e+000	2.000000e+000
1.925774001295334e-003	7.422600e-001	3.476692e+000	2.000000e+000
1.931633376295334e-003	6.836662e-001	3.476489e+000	2.000000e+000
1.937492751295334e-003	6.250725e-001	3.475975e+000	2.000000e+000
1.943352126295334e-003	5.664787e-001	3.475121e+000	2.000000e+000
