time	V(vin+)	V(vout)
0.000000000000000e+000	0.000000e+000	3.327207e-005
2.113782562824126e-008	1.328129e-004	4.668495e-005
4.227565125648252e-008	2.656258e-004	9.946354e-005
6.341347688472378e-008	3.984386e-004	1.916078e-004
8.455130251296503e-008	5.312515e-004	3.231178e-004
1.056891281412063e-007	6.640643e-004	4.939935e-004
1.268269537694476e-007	7.968771e-004	7.042349e-004
1.479647793976888e-007	9.296900e-004	9.538421e-004
2.061463515131627e-007	1.295255e-003	1.729590e-003
2.721263679806926e-007	1.709820e-003	2.769230e-003
3.564723306557482e-007	2.239780e-003	4.228713e-003
4.757119017253916e-007	2.988982e-003	6.399699e-003
1.745734442296375e-005	1.094679e-001	3.256841e-001
3.503546942296375e-005	2.183607e-001	6.522856e-001
5.261359442296375e-005	3.245926e-001	9.709386e-001
7.019171942296375e-005	4.268689e-001	1.277760e+000
8.776984442296377e-005	5.239434e-001	1.569012e+000
1.053479694229638e-004	6.146331e-001	1.841143e+000
1.229260944229638e-004	6.978329e-001	2.090839e+000
1.405042194229638e-004	7.725288e-001	2.315057e+000
1.580823444229638e-004	8.378106e-001	2.511063e+000
1.756604694229638e-004	8.928828e-001	2.676470e+000
1.932385944229639e-004	9.370743e-001	2.809262e+000
2.108167194229639e-004	9.698466e-001	2.907820e+000
2.283948444229639e-004	9.908002e-001	2.970945e+000
2.459729694229639e-004	9.996799e-001	2.997865e+000
2.635510944229639e-004	9.963774e-001	2.988254e+000
2.811292194229639e-004	9.809331e-001	2.942228e+000
2.987073444229639e-004	9.535350e-001	2.860348e+000
3.162854694229640e-004	9.145170e-001	2.743613e+000
3.338635944229640e-004	8.643547e-001	2.593443e+000
3.514417194229640e-004	8.036594e-001	2.411670e+000
3.690198444229640e-004	7.331706e-001	2.200509e+000
3.865979694229640e-004	6.537473e-001	1.962533e+000
4.041760944229640e-004	5.663574e-001	1.700641e+000
4.217542194229641e-004	4.720659e-001	1.418025e+000
4.393323444229641e-004	3.720217e-001	1.118130e+000
4.569104694229641e-004	2.674441e-001	8.046090e-001
4.744885944229641e-004	1.596074e-001	4.812835e-001
4.920667194229641e-004	4.982563e-002	1.520936e-001
5.096448444229641e-004	-6.056326e-002	-1.789495e-001
5.272229694229642e-004	-1.702141e-001	-5.078114e-001
5.448010944229642e-004	-2.777908e-001	-8.304847e-001
5.623792194229642e-004	-3.819822e-001	-1.143037e+000
5.799573444229642e-004	-4.815188e-001	-1.441660e+000
5.975354694229642e-004	-5.751876e-001	-1.722714e+000
6.151135944229642e-004	-6.618471e-001	-1.982775e+000
6.326917194229642e-004	-7.404413e-001	-2.218673e+000
6.502698444229643e-004	-8.100124e-001	-2.427533e+000
6.678479694229643e-004	-8.697127e-001	-2.606811e+000
6.854260944229643e-004	-9.188146e-001	-2.754322e+000
7.030042194229643e-004	-9.567198e-001	-2.868268e+000
7.205823444229643e-004	-9.829663e-001	-2.947260e+000
7.381604694229643e-004	-9.972343e-001	-2.990336e+000
7.557385944229644e-004	-9.993500e-001	-2.996972e+000
7.733167194229644e-004	-9.892876e-001	-2.967086e+000
7.908948444229644e-004	-9.671696e-001	-2.901042e+000
8.084729694229644e-004	-9.332656e-001	-2.799646e+000
8.260510944229644e-004	-8.879889e-001	-2.664133e+000
8.436292194229644e-004	-8.318910e-001	-2.496155e+000
8.612073444229644e-004	-7.656556e-001	-2.297757e+000
8.787854694229645e-004	-6.900899e-001	-2.071359e+000
8.963635944229645e-004	-6.061148e-001	-1.819719e+000
9.139417194229645e-004	-5.147535e-001	-1.545903e+000
9.315198444229645e-004	-4.171194e-001	-1.253249e+000
9.490979694229645e-004	-3.144022e-001	-9.453219e-001
9.666760944229645e-004	-2.078537e-001	-6.258750e-001
9.842542194229646e-004	-9.877235e-002	-2.988007e-001
1.001832344422965e-003	1.151271e-002	3.191517e-002
1.019410469422965e-003	1.216575e-001	3.622425e-001
1.036988594422965e-003	2.303197e-001	6.881559e-001
1.054566719422965e-003	3.361752e-001	1.005684e+000
1.072144844422965e-003	4.379341e-001	1.310957e+000
1.089722969422965e-003	5.343563e-001	1.600255e+000
1.107301094422965e-003	6.242668e-001	1.870053e+000
1.124879219422965e-003	7.065700e-001	2.117063e+000
1.142457344422965e-003	7.802628e-001	2.338275e+000
1.160035469422965e-003	8.444473e-001	2.530993e+000
1.177613594422965e-003	8.983414e-001	2.692868e+000
1.195191719422965e-003	9.412881e-001	2.821929e+000
1.212769844422965e-003	9.727643e-001	2.916602e+000
1.230347969422965e-003	9.923863e-001	2.975734e+000
1.247926094422965e-003	9.999151e-001	2.998603e+000
1.265504219422965e-003	9.952588e-001	2.984932e+000
1.283082344422965e-003	9.784743e-001	2.934886e+000
1.300660469422965e-003	9.497660e-001	2.849077e+000
1.318238594422965e-003	9.094837e-001	2.728548e+000
1.335816719422965e-003	8.581185e-001	2.574770e+000
1.353394844422965e-003	7.962962e-001	2.389615e+000
1.370972969422965e-003	7.247701e-001	2.175341e+000
1.388551094422965e-003	6.444120e-001	1.934559e+000
1.406129219422965e-003	5.562010e-001	1.670202e+000
1.423707344422965e-003	4.612122e-001	1.385492e+000
1.441285469422965e-003	3.606030e-001	1.083898e+000
1.458863594422965e-003	2.555994e-001	7.690969e-001
1.476441719422965e-003	1.474811e-001	4.449236e-001
1.494019844422965e-003	3.756559e-002	1.153287e-001
1.505738594422965e-003	-3.604884e-002	-1.054309e-001
1.523316719422965e-003	-1.459798e-001	-4.351255e-001
1.540894844422965e-003	-2.541318e-001	-7.595173e-001
