time	V(vin+)	V(vout)
0.000000000000000e+000	0.000000e+000	1.782219e-004
1.291320622609869e-008	8.113607e-005	1.786944e-004
2.582641245219738e-008	1.622721e-004	1.966730e-004
3.873961867829607e-008	2.434082e-004	2.321577e-004
5.165282490439476e-008	3.245443e-004	2.851484e-004
6.456603113049345e-008	4.056803e-004	3.556453e-004
7.747923735659214e-008	4.868164e-004	4.436482e-004
9.039244358269080e-008	5.679525e-004	5.491572e-004
1.377170984708080e-007	8.653019e-004	1.159031e-003
2.123317097321977e-007	1.334119e-003	2.738984e-003
3.575034540000751e-007	2.246259e-003	7.320782e-003
5.052849078243185e-007	3.174793e-003	1.382761e-002
7.377854790432657e-007	4.635626e-003	2.714376e-002
1.003357066108363e-006	6.304237e-003	4.564776e-002
1.397702279525083e-006	8.781910e-003	7.745240e-002
1.829228542200302e-006	1.149313e-002	1.158127e-001
2.389375585785076e-006	1.501233e-002	1.688094e-001
3.022698588056878e-006	1.899103e-002	2.307850e-001
6.360137271289033e-006	3.997053e-002	5.657139e-001
9.697575954521188e-006	6.091073e-002	9.001957e-001
1.303501463775334e-005	8.181161e-002	1.234230e+000
1.637245332098550e-005	1.026732e-001	1.567817e+000
1.970989200421765e-005	1.234955e-001	1.900957e+000
2.304733068744981e-005	1.442784e-001	2.233650e+000
2.638476937068195e-005	1.650221e-001	2.565896e+000
4.396289437068195e-005	2.727276e-001	4.290179e+000
6.154101937068195e-005	3.771097e-001	5.962185e+000
7.911914437068197e-005	4.768963e-001	7.561541e+000
9.669726937068198e-005	5.708715e-001	9.068756e+000
1.142753943706820e-004	6.578899e-001	1.046546e+001
1.318535193706820e-004	7.368913e-001	1.173464e+001
1.494316443706820e-004	8.069128e-001	1.286075e+001
1.572917959052889e-004	8.350884e-001	1.329398e+001
1.624178040954418e-004	8.524033e-001	1.334551e+001
1.675438122855946e-004	8.687963e-001	1.338626e+001
1.726698204757475e-004	8.842674e-001	1.341624e+001
1.777958286659003e-004	8.988165e-001	1.343545e+001
1.829218368560532e-004	9.124437e-001	1.344388e+001
1.880478450462061e-004	9.251489e-001	1.344154e+001
1.931738532363589e-004	9.369322e-001	1.342843e+001
2.107519782363589e-004	9.697474e-001	1.343627e+001
2.283301032363590e-004	9.907451e-001	1.344033e+001
2.459082282363589e-004	9.996696e-001	1.344197e+001
2.634863532363590e-004	9.964119e-001	1.344161e+001
2.810644782363590e-004	9.810120e-001	1.343918e+001
2.986426032363590e-004	9.536574e-001	1.343399e+001
3.162207282363590e-004	9.146815e-001	1.342390e+001
3.337988532363590e-004	8.645592e-001	1.339799e+001
3.355146105113862e-004	8.590892e-001	1.341545e+001
3.372303677864134e-004	8.535213e-001	1.341944e+001
3.389461250614406e-004	8.478554e-001	1.340996e+001
3.406618823364678e-004	8.420916e-001	1.338701e+001
3.423776396114949e-004	8.362297e-001	1.335059e+001
3.440933968865221e-004	8.302700e-001	1.330069e+001
3.458091541615493e-004	8.242123e-001	1.323732e+001
3.581164838910164e-004	7.771661e-001	1.248332e+001
3.704238136204835e-004	7.262968e-001	1.166928e+001
3.827311433499506e-004	6.716042e-001	1.079521e+001
3.950384730794177e-004	6.130884e-001	9.861103e+000
4.073458028088848e-004	5.507494e-001	8.866959e+000
4.196531325383520e-004	4.845871e-001	7.812780e+000
4.319604622678190e-004	4.146017e-001	6.698565e+000
4.495385872678190e-004	3.117729e-001	5.057031e+000
4.671167122678191e-004	2.051449e-001	3.353872e+000
4.846948372678191e-004	9.601703e-002	1.609843e+000
5.022729622678190e-004	-1.428096e-002	-1.538015e-001
5.198510872678191e-004	-1.244049e-001	-1.915570e+000
5.374292122678191e-004	-2.330129e-001	-3.653992e+000
5.550073372678191e-004	-3.387813e-001	-5.347883e+000
5.725854622678191e-004	-4.404213e-001	-6.976601e+000
5.901635872678191e-004	-5.366943e-001	-8.520296e+000
6.077417122678191e-004	-6.264272e-001	-9.960157e+000
6.253198372678191e-004	-7.085264e-001	-1.127864e+001
6.428979622678192e-004	-7.819914e-001	-1.245967e+001
6.569220361969013e-004	-8.338081e-001	-1.327958e+001
6.609901467606138e-004	-8.476610e-001	-1.333553e+001
6.650582573243265e-004	-8.609409e-001	-1.337966e+001
6.691263678880391e-004	-8.736479e-001	-1.341196e+001
6.731944784517516e-004	-8.857821e-001	-1.343243e+001
6.772625890154643e-004	-8.973432e-001	-1.344107e+001
6.813306995791769e-004	-9.083315e-001	-1.343789e+001
6.853988101428895e-004	-9.187469e-001	-1.342287e+001
7.029769351428895e-004	-9.566699e-001	-1.343353e+001
7.205550601428895e-004	-9.829348e-001	-1.343900e+001
7.381331851428895e-004	-9.972216e-001	-1.344161e+001
7.557113101428895e-004	-9.993562e-001	-1.344213e+001
7.732894351428895e-004	-9.893126e-001	-1.344065e+001
7.908675601428895e-004	-9.672132e-001	-1.343682e+001
8.084456851428896e-004	-9.333272e-001	-1.342935e+001
8.260238101428896e-004	-8.880677e-001	-1.341364e+001
8.429738878443341e-004	-8.341689e-001	-1.333768e+001
8.450176256960911e-004	-8.270161e-001	-1.325077e+001
8.470613635478479e-004	-8.197297e-001	-1.315498e+001
8.491051013996049e-004	-8.123097e-001	-1.305030e+001
8.511488392513618e-004	-8.047561e-001	-1.293673e+001
8.531925771031188e-004	-7.970689e-001	-1.281428e+001
8.552363149548757e-004	-7.892481e-001	-1.268294e+001
8.572800528066326e-004	-7.812937e-001	-1.254272e+001
8.748581778066327e-004	-7.077366e-001	-1.137092e+001
8.924363028066327e-004	-6.255550e-001	-1.006210e+001
9.100144278066327e-004	-5.357503e-001	-8.630662e+000
9.275925528066327e-004	-4.394169e-001	-7.094054e+000
9.451706778066327e-004	-3.377287e-001	-5.470999e+000
9.627488028066327e-004	-2.319250e-001	-3.781273e+000
9.803269278066326e-004	-1.232950e-001	-2.045469e+000
9.979050528066327e-004	-1.316256e-002	-2.847364e-001
1.015483177806633e-003	9.713030e-002	1.479468e+000
1.033061302806633e-003	2.062395e-001	3.225645e+000
1.050639427806633e-003	3.128355e-001	4.932518e+000
1.068217552806633e-003	4.156193e-001	6.579288e+000
1.085795677806633e-003	5.133382e-001	8.145886e+000
1.103373802806633e-003	6.048017e-001	9.613223e+000
1.120951927806633e-003	6.888949e-001	1.096342e+001
1.138530052806633e-003	7.645932e-001	1.218002e+001
1.156108177806633e-003	8.309742e-001	1.323845e+001
1.160885899288621e-003	8.472974e-001	1.336244e+001
1.186284958789786e-003	9.216618e-001	1.340445e+001
1.211684018290950e-003	9.713070e-001	1.343324e+001
1.237083077792114e-003	9.962331e-001	1.344880e+001
1.262482137293278e-003	9.964399e-001	1.345114e+001
1.287881196794443e-003	9.719275e-001	1.344025e+001
1.313280256295607e-003	9.226959e-001	1.341613e+001
1.338679315796771e-003	8.487452e-001	1.337879e+001
1.344911734942355e-003	8.273922e-001	1.329028e+001
1.357279466519733e-003	7.804726e-001	1.253700e+001
1.369647198097112e-003	7.296653e-001	1.172299e+001
1.382014929674490e-003	6.749703e-001	1.084824e+001
1.394382661251868e-003	6.163877e-001	9.912745e+000
1.406750392829247e-003	5.539173e-001	8.916515e+000
1.419118124406625e-003	4.875592e-001	7.859547e+000
1.431485855984004e-003	4.173135e-001	6.741841e+000
1.449063980984004e-003	3.146050e-001	5.102253e+000
1.466642105984004e-003	2.080626e-001	3.400488e+000
1.484220230984004e-003	9.898485e-002	1.657286e+000
1.501798355984004e-003	-1.129916e-002	-1.061112e-001
1.519376480984004e-003	-1.214455e-001	-1.868213e+000
1.536954605984004e-003	-2.301119e-001	-3.607546e+000
1.554532730984004e-003	-3.359741e-001	-5.302914e+000
1.572110855984004e-003	-4.377421e-001	-6.933655e+000
1.589688980984004e-003	-5.341758e-001	-8.479898e+000
1.607267105984004e-003	-6.241000e-001	-9.922800e+000
1.624845230984004e-003	-7.064188e-001	-1.124478e+001
1.642423355984004e-003	-7.801292e-001	-1.242972e+001
1.644775412487545e-003	-7.892951e-001	-1.259289e+001
1.647127468991086e-003	-7.982835e-001	-1.274488e+001
1.649479525494628e-003	-8.070943e-001	-1.288571e+001
1.651831581998169e-003	-8.157277e-001	-1.301537e+001
1.654183638501711e-003	-8.241836e-001	-1.313385e+001
1.656535695005252e-003	-8.324619e-001	-1.324117e+001
1.658887751508793e-003	-8.405628e-001	-1.333731e+001
1.674996473591292e-003	-8.916638e-001	-1.337950e+001
1.691105195673791e-003	-9.328835e-001	-1.341256e+001
1.707213917756290e-003	-9.642219e-001	-1.343648e+001
1.723322639838789e-003	-9.856791e-001	-1.345128e+001
1.739431361921288e-003	-9.972550e-001	-1.345694e+001
1.755540084003788e-003	-9.989497e-001	-1.345348e+001
1.771648806086287e-003	-9.907631e-001	-1.344088e+001
1.789226931086287e-003	-9.697797e-001	-1.343730e+001
1.806805056086287e-003	-9.369785e-001	-1.343027e+001
1.824383181086287e-003	-8.927593e-001	-1.341581e+001
1.827378778296031e-003	-8.841129e-001	-1.342734e+001
1.830374375505776e-003	-8.751616e-001	-1.342788e+001
1.833369972715520e-003	-8.659057e-001	-1.341743e+001
1.836365569925265e-003	-8.563449e-001	-1.339599e+001
1.839361167135010e-003	-8.464794e-001	-1.336357e+001
1.842356764344754e-003	-8.363091e-001	-1.332015e+001
1.845352361554499e-003	-8.258341e-001	-1.326575e+001
1.858080235378233e-003	-7.772180e-001	-1.248524e+001
1.870808109201967e-003	-7.245452e-001	-1.164131e+001
1.883535983025701e-003	-6.678158e-001	-1.073395e+001
1.896263856849435e-003	-6.070297e-001	-9.763181e+000
1.908991730673169e-003	-5.421870e-001	-8.728984e+000
1.921719604496903e-003	-4.732876e-001	-7.631366e+000
1.934447478320637e-003	-4.003316e-001	-6.470326e+000
1.952025603320637e-003	-2.968880e-001	-4.818869e+000
1.969603728320637e-003	-1.898265e-001	-3.108688e+000
1.987181853320636e-003	-8.045175e-002	-1.360624e+000
1.998900603320636e-003	-6.907658e-003	-1.847095e-001
2.016478728320635e-003	1.033540e-001	1.579047e+000
2.034056853320634e-003	2.123562e-001	3.323564e+000
2.051634978320634e-003	3.187706e-001	5.027583e+000
2.069213103320633e-003	4.213004e-001	6.670340e+000
2.086791228320633e-003	5.186963e-001	8.231816e+000
2.104369353320632e-003	6.097713e-001	9.692984e+000
2.121947478320631e-003	6.934156e-001	1.103604e+001
2.139525603320631e-003	7.686098e-001	1.224461e+001
2.142253815740554e-003	7.794714e-001	1.243331e+001
2.144982028160477e-003	7.900958e-001	1.261095e+001
2.147710240580400e-003	8.004831e-001	1.277751e+001
2.150438453000323e-003	8.106332e-001	1.293299e+001
2.153166665420246e-003	8.205462e-001	1.307741e+001
2.155894877840169e-003	8.302220e-001	1.321075e+001
2.158623090260092e-003	8.396608e-001	1.333303e+001
2.172858629577268e-003	8.853414e-001	1.337583e+001
2.187094168894443e-003	9.233660e-001	1.340956e+001
2.201329708211619e-003	9.537347e-001	1.343420e+001
2.215565247528794e-003	9.764474e-001	1.344975e+001
2.229800786845970e-003	9.915041e-001	1.345623e+001
2.244036326163146e-003	9.989049e-001	1.345362e+001
2.258271865480321e-003	9.986497e-001	1.344192e+001
2.275849990480321e-003	9.868388e-001	1.344015e+001
2.293428115480320e-003	9.630023e-001	1.343590e+001
2.311006240480319e-003	9.274305e-001	1.342767e+001
2.328584365480319e-003	8.805570e-001	1.340957e+001
2.330966998051144e-003	8.733582e-001	1.342192e+001
2.333349630621970e-003	8.659683e-001	1.342359e+001
2.335732263192795e-003	8.583873e-001	1.341457e+001
2.338114895763621e-003	8.506150e-001	1.339485e+001
2.340497528334446e-003	8.426516e-001	1.336445e+001
2.342880160905272e-003	8.344971e-001	1.332335e+001
2.345262793476097e-003	8.261514e-001	1.327157e+001
2.357617545630218e-003	7.791303e-001	1.251627e+001
2.369972297784339e-003	7.282437e-001	1.170067e+001
2.382327049938460e-003	6.734916e-001	1.082477e+001
2.394681802092581e-003	6.148738e-001	9.888558e+000
2.407036554246702e-003	5.523905e-001	8.892049e+000
2.419391306400823e-003	4.860416e-001	7.835237e+000
2.431746058554944e-003	4.158272e-001	6.718122e+000
2.449324183554943e-003	3.130527e-001	5.077466e+000
2.466902308554942e-003	2.064632e-001	3.374935e+000
2.484480433554942e-003	9.735785e-002	1.631277e+000
2.502058558554941e-003	-1.293394e-002	-1.322575e-001
2.519636683554941e-003	-1.230681e-001	-1.894179e+000
2.537214808554940e-003	-2.317026e-001	-3.633014e+000
2.554792933554939e-003	-3.375135e-001	-5.327574e+000
2.572371058554939e-003	-4.392115e-001	-6.957208e+000
2.589949183554938e-003	-5.355572e-001	-8.502056e+000
2.607527308554937e-003	-6.253766e-001	-9.943292e+000
2.625105433554937e-003	-7.075751e-001	-1.126335e+001
2.642683558554936e-003	-7.811510e-001	-1.244615e+001
2.656710785364020e-003	-8.330746e-001	-1.327199e+001
2.660630800557510e-003	-8.464591e-001	-1.333095e+001
2.664550815751000e-003	-8.593130e-001	-1.337739e+001
2.668470830944490e-003	-8.716362e-001	-1.341131e+001
2.672390846137979e-003	-8.834288e-001	-1.343271e+001
2.676310861331469e-003	-8.946907e-001	-1.344158e+001
2.680230876524959e-003	-9.054221e-001	-1.343794e+001
2.684150891718449e-003	-9.156228e-001	-1.342177e+001
2.701729016718448e-003	-9.543574e-001	-1.343299e+001
2.719307141718448e-003	-9.814622e-001	-1.343872e+001
2.736885266718447e-003	-9.966068e-001	-1.344150e+001
2.754463391718446e-003	-9.996068e-001	-1.344215e+001
2.772041516718446e-003	-9.904255e-001	-1.344083e+001
2.789619641718445e-003	-9.691747e-001	-1.343719e+001
2.807197766718444e-003	-9.361136e-001	-1.343006e+001
2.824775891718444e-003	-8.916449e-001	-1.341531e+001
2.827662317318520e-003	-8.832802e-001	-1.342170e+001
2.830548742918597e-003	-8.746325e-001	-1.341978e+001
2.833435168518673e-003	-8.657018e-001	-1.340953e+001
2.836321594118750e-003	-8.564879e-001	-1.339096e+001
2.839208019718827e-003	-8.469911e-001	-1.336407e+001
2.842094445318904e-003	-8.372111e-001	-1.332886e+001
2.844980870918980e-003	-8.271481e-001	-1.328533e+001
2.857770863026930e-003	-7.784506e-001	-1.250401e+001
2.870560855134880e-003	-7.256436e-001	-1.165833e+001
2.883350847242830e-003	-6.687271e-001	-1.074829e+001
2.896140839350781e-003	-6.077012e-001	-9.773886e+000
2.908930831458731e-003	-5.425659e-001	-8.735121e+000
2.921720823566681e-003	-4.733211e-001	-7.631994e+000
2.934510815674631e-003	-3.999669e-001	-6.464506e+000
2.952088940674630e-003	-2.965079e-001	-4.812800e+000
2.969667065674629e-003	-1.894357e-001	-3.102445e+000
2.987245190674629e-003	-8.005507e-002	-1.354282e+000
2.998963940674628e-003	-6.509707e-003	-1.783455e-001
3.016542065674628e-003	1.037498e-001	1.585380e+000
3.034120190674627e-003	2.127451e-001	3.329789e+000
3.051698315674627e-003	3.191478e-001	5.033624e+000
3.069276440674626e-003	4.216613e-001	6.676124e+000
3.086854565674625e-003	5.190365e-001	8.237272e+000
3.104432690674625e-003	6.100867e-001	9.698046e+000
3.122010815674624e-003	6.937023e-001	1.104064e+001
3.139588940674623e-003	7.688643e-001	1.224870e+001
3.142299117294675e-003	7.796495e-001	1.243584e+001
3.145009293914726e-003	7.902007e-001	1.261217e+001
3.147719470534778e-003	8.005178e-001	1.277770e+001
3.150429647154829e-003	8.106009e-001	1.293243e+001
3.153139823774881e-003	8.204500e-001	1.307635e+001
3.155850000394932e-003	8.300650e-001	1.320946e+001
