time	V(in,+)	V(out)	V(in,-)
0.000000000000000e+000	0.000000e+000	1.345467e+001	6.000000e+000
1.604480837196668e-006	4.813442e-002	1.345631e+001	6.000000e+000
3.208961674393336e-006	9.626885e-002	1.345800e+001	6.000000e+000
4.813442511590004e-006	1.444033e-001	1.345976e+001	6.000000e+000
6.417923348786672e-006	1.925377e-001	1.346158e+001	6.000000e+000
8.022404185983340e-006	2.406721e-001	1.346347e+001	6.000000e+000
9.626885023180009e-006	2.888065e-001	1.346541e+001	6.000000e+000
1.123136586037667e-005	3.369410e-001	1.346742e+001	6.000000e+000
1.709074086037667e-005	5.127223e-001	1.347243e+001	6.000000e+000
2.295011586037667e-005	6.885035e-001	1.347574e+001	6.000000e+000
2.880949086037667e-005	8.642848e-001	1.347719e+001	6.000000e+000
3.466886586037667e-005	1.040066e+000	1.347746e+001	6.000000e+000
4.052824086037667e-005	1.215847e+000	1.347745e+001	6.000000e+000
1.752938658603768e-004	5.258816e+000	1.347581e+001	6.000000e+000
1.925554279496741e-004	5.776663e+000	1.345165e+001	6.000000e+000
1.984148029496741e-004	5.952444e+000	1.341058e+001	6.000000e+000
2.013368821082720e-004	6.040106e+000	1.246092e+001	6.000000e+000
2.034278245857726e-004	6.102835e+000	9.736270e+000	6.000000e+000
2.048340350933474e-004	6.145021e+000	6.443592e+000	6.000000e+000
2.066030815139656e-004	6.198092e+000	1.632897e+000	6.000000e+000
2.066281286038397e-004	6.198844e+000	1.597829e+000	6.000000e+000
2.069498791322772e-004	6.208497e+000	1.581419e+000	6.000000e+000
2.078862808815123e-004	6.236588e+000	1.562603e+000	6.000000e+000
2.105616569195390e-004	6.316850e+000	1.545609e+000	6.000000e+000
2.161149846461015e-004	6.483450e+000	1.536818e+000	6.000000e+000
2.216683123726640e-004	6.650049e+000	1.529887e+000	6.000000e+000
2.272216400992264e-004	6.816649e+000	1.524817e+000	6.000000e+000
2.327749678257889e-004	6.983249e+000	1.521608e+000	6.000000e+000
2.383282955523514e-004	7.149849e+000	1.520260e+000	6.000000e+000
2.438816232789139e-004	7.316449e+000	1.520772e+000	6.000000e+000
2.494349510054763e-004	7.483048e+000	1.523144e+000	6.000000e+000
5.003355452386593e-004	1.498993e+001	1.523146e+000	6.000000e+000
5.402320662894890e-004	1.379304e+001	1.522639e+000	6.000000e+000
5.801285873403187e-004	1.259614e+001	1.522449e+000	6.000000e+000
6.200251083911483e-004	1.139925e+001	1.522577e+000	6.000000e+000
6.599216294419781e-004	1.020235e+001	1.523022e+000	6.000000e+000
