time	V(in)	V(out)
0.000000000000000e+000	1.000000e+000	2.999910e+000
1.000000000000000e-012	0.000000e+000	2.999910e+000
5.464000872107526e-009	0.000000e+000	2.987081e+000
1.092700174421505e-008	0.000000e+000	2.966888e+000
1.639000261632258e-008	0.000000e+000	2.939330e+000
2.185300348843011e-008	0.000000e+000	2.904409e+000
2.731600436053763e-008	0.000000e+000	2.862123e+000
3.277900523264516e-008	0.000000e+000	2.812474e+000
3.824200610475267e-008	0.000000e+000	2.755460e+000
5.114830315933455e-008	0.000000e+000	2.618192e+000
1.155072580208324e-007	0.000000e+000	1.853130e+000
1.517142870628075e-007	0.000000e+000	1.453442e+000
1.913221725261205e-007	0.000000e+000	1.078014e+000
2.307130873368874e-007	0.000000e+000	7.805409e-001
2.722001796141513e-007	0.000000e+000	5.476469e-001
3.204177203683709e-007	0.000000e+000	3.555432e-001
3.631306061040536e-007	0.000000e+000	2.383593e-001
4.034467888616515e-007	0.000000e+000	1.642363e-001
4.489251919280015e-007	0.000000e+000	1.076753e-001
4.901834762996355e-007	0.000000e+000	7.299939e-002
5.331313326847661e-007	0.000000e+000	4.884011e-002
5.734404863790325e-007	0.000000e+000	3.346894e-002
6.157260079475680e-007	0.000000e+000	2.256152e-002
6.564562131504579e-007	0.000000e+000	1.541399e-002
6.985589921257419e-007	0.000000e+000	1.041027e-002
7.394903612994176e-007	0.000000e+000	7.105039e-003
7.813994806423576e-007	0.000000e+000	4.812442e-003
8.224948806899108e-007	0.000000e+000	3.285799e-003
8.643456563523928e-007	0.000000e+000	2.232485e-003
9.056470035415979e-007	0.000000e+000	1.527256e-003
9.475295274292244e-007	0.000000e+000	1.043108e-003
9.890904816364388e-007	0.000000e+000	7.177165e-004
1.031178382477074e-006	0.000000e+000	4.950603e-004
1.073194074193590e-006	0.000000e+000	3.466857e-004
1.123242300415803e-006	0.000000e+000	2.319970e-004
1.178949779815196e-006	0.000000e+000	1.528992e-004
1.246182083788204e-006	0.000000e+000	9.828818e-005
1.419901434089610e-006	0.000000e+000	4.685117e-005
2.244019218213894e-006	0.000000e+000	3.838340e-005
3.068137002338178e-006	0.000000e+000	3.209159e-005
3.892254786462461e-006	0.000000e+000	2.797576e-005
4.716372570586745e-006	0.000000e+000	2.603589e-005
5.540490354711029e-006	0.000000e+000	2.627200e-005
6.364608138835312e-006	0.000000e+000	2.868407e-005
7.188725922959594e-006	0.000000e+000	3.327211e-005
5.000000010000000e-004	0.000000e+000	3.327207e-005
5.000000020000000e-004	1.000000e+000	3.327206e-005
5.000003764799986e-004	1.000000e+000	8.590783e-005
5.000007509599970e-004	1.000000e+000	2.181478e-004
5.000011254399956e-004	1.000000e+000	4.299919e-004
5.000014999199940e-004	1.000000e+000	7.214402e-004
5.000018743999925e-004	1.000000e+000	1.092493e-003
5.000022488799910e-004	1.000000e+000	1.543149e-003
5.000026233599895e-004	1.000000e+000	2.073410e-003
5.000047543024629e-004	1.000000e+000	6.221119e-003
5.000078697488613e-004	1.000000e+000	1.573052e-002
5.000122157146084e-004	1.000000e+000	3.495493e-002
5.000180852382253e-004	1.000000e+000	7.006665e-002
5.000258911366190e-004	1.000000e+000	1.295020e-001
5.000361824938309e-004	1.000000e+000	2.239864e-001
5.000498107330222e-004	1.000000e+000	3.672541e-001
5.000657699193988e-004	1.000000e+000	5.507042e-001
5.001112763369579e-004	1.000000e+000	1.096762e+000
5.001478955063545e-004	1.000000e+000	1.505780e+000
5.001862720089745e-004	1.000000e+000	1.876950e+000
5.002266047932541e-004	1.000000e+000	2.190355e+000
5.002669195085755e-004	1.000000e+000	2.425268e+000
5.003148796641004e-004	1.000000e+000	2.617299e+000
5.003838764314007e-004	1.000000e+000	2.798290e+000
5.004247514509958e-004	1.000000e+000	2.866898e+000
5.005056022884293e-004	1.000000e+000	2.936723e+000
5.006281396398973e-004	1.000000e+000	2.979796e+000
5.008261761682646e-004	1.000000e+000	2.990072e+000
5.010242126966318e-004	1.000000e+000	2.997880e+000
5.012222492249990e-004	1.000000e+000	3.003221e+000
5.014202857533662e-004	1.000000e+000	3.006095e+000
5.016183222817334e-004	1.000000e+000	3.006501e+000
5.018163588101006e-004	1.000000e+000	3.004439e+000
5.020143953384679e-004	1.000000e+000	2.999910e+000
1.000000000000000e-003	1.000000e+000	2.999910e+000
1.000000001000000e-003	3.995803e-009	2.999910e+000
1.000006035028447e-003	1.729087e-009	2.984405e+000
1.000012069056895e-003	2.766730e-011	2.960478e+000
1.000018103085342e-003	-1.108457e-009	2.928130e+000
1.000024137113789e-003	-1.679286e-009	2.887359e+000
1.000030171142236e-003	-1.684820e-009	2.838168e+000
1.000036205170684e-003	-1.125058e-009	2.780554e+000
1.000042239199131e-003	0.000000e+000	2.714519e+000
1.000073666784593e-003	0.000000e+000	2.354685e+000
1.000126244549434e-003	0.000000e+000	1.730031e+000
1.000164009260364e-003	0.000000e+000	1.329257e+000
1.000203727965051e-003	0.000000e+000	9.759663e-001
1.000243326655974e-003	0.000000e+000	7.014518e-001
1.000286198683330e-003	0.000000e+000	4.855987e-001
1.000339069876488e-003	0.000000e+000	3.011664e-001
1.000382923090334e-003	0.000000e+000	1.981907e-001
1.000422710180102e-003	0.000000e+000	1.367494e-001
1.000466416565801e-003	0.000000e+000	9.113190e-002
1.000507635744870e-003	0.000000e+000	6.190504e-002
1.000550316852006e-003	0.000000e+000	4.153035e-002
1.000590948517025e-003	0.000000e+000	2.837928e-002
1.000633008631528e-003	0.000000e+000	1.916726e-002
1.000673898428678e-003	0.000000e+000	1.307891e-002
1.000715836766097e-003	0.000000e+000	8.847550e-003
1.000756904241833e-003	0.000000e+000	6.033110e-003
1.000798705921185e-003	0.000000e+000	4.091753e-003
1.000839904182446e-003	0.000000e+000	2.792901e-003
1.000881695108120e-003	0.000000e+000	1.900162e-003
1.000923091001232e-003	0.000000e+000	1.300462e-003
1.000964958708097e-003	0.000000e+000	8.899070e-004
1.001006627562757e-003	0.000000e+000	6.133324e-004
1.001048764606609e-003	0.000000e+000	4.251333e-004
1.001093259918935e-003	0.000000e+000	2.938283e-004
1.001146076799825e-003	0.000000e+000	1.944629e-004
1.001205837559050e-003	0.000000e+000	1.268337e-004
1.001277473150649e-003	0.000000e+000	8.215798e-005
1.001467151732663e-003	0.000000e+000	4.215422e-005
1.500000001000000e-003	0.000000e+000	3.327207e-005
1.500000002000000e-003	1.000000e+000	3.327205e-005
1.500000376479999e-003	1.000000e+000	8.590783e-005
1.500000750959997e-003	1.000000e+000	2.181478e-004
1.500001125439996e-003	1.000000e+000	4.299919e-004
1.500001499919994e-003	1.000000e+000	7.214402e-004
1.500001874399993e-003	1.000000e+000	1.092493e-003
1.500002248879991e-003	1.000000e+000	1.543149e-003
1.500002623359990e-003	1.000000e+000	2.073410e-003
1.500004754302460e-003	1.000000e+000	6.221119e-003
1.500007869748858e-003	1.000000e+000	1.573052e-002
1.500012215714603e-003	1.000000e+000	3.495493e-002
1.500018085238219e-003	1.000000e+000	7.006665e-002
1.500025891136609e-003	1.000000e+000	1.295020e-001
1.500036182493819e-003	1.000000e+000	2.239864e-001
1.500049810733005e-003	1.000000e+000	3.672541e-001
1.500065769919381e-003	1.000000e+000	5.507042e-001
1.500111276336928e-003	1.000000e+000	1.096762e+000
1.500147895506310e-003	1.000000e+000	1.505780e+000
1.500186272008935e-003	1.000000e+000	1.876950e+000
1.500226604793209e-003	1.000000e+000	2.190355e+000
1.500266919508532e-003	1.000000e+000	2.425268e+000
1.500314879664040e-003	1.000000e+000	2.617299e+000
1.500383876431297e-003	1.000000e+000	2.798290e+000
1.500424751450870e-003	1.000000e+000	2.866898e+000
1.500505602288321e-003	1.000000e+000	2.936723e+000
1.500628139639786e-003	1.000000e+000	2.979796e+000
1.500826176167980e-003	1.000000e+000	2.990072e+000
1.501024212696173e-003	1.000000e+000	2.997880e+000
1.501222249224367e-003	1.000000e+000	3.003221e+000
1.501420285752561e-003	1.000000e+000	3.006095e+000
1.501618322280755e-003	1.000000e+000	3.006501e+000
1.501816358808948e-003	1.000000e+000	3.004439e+000
1.502014395337142e-003	1.000000e+000	2.999910e+000
2.000000000000000e-003	1.000000e+000	2.999910e+000
2.000000001000000e-003	3.995803e-009	2.999910e+000
2.000006035028447e-003	1.729087e-009	2.984405e+000
2.000012069056895e-003	2.766730e-011	2.960478e+000
2.000018103085342e-003	-1.108457e-009	2.928130e+000
2.000024137113789e-003	-1.679286e-009	2.887359e+000
2.000030171142236e-003	-1.684820e-009	2.838168e+000
2.000036205170684e-003	-1.125058e-009	2.780554e+000
2.000042239199131e-003	0.000000e+000	2.714519e+000
2.000073666784593e-003	0.000000e+000	2.354685e+000
2.000126244549434e-003	0.000000e+000	1.730031e+000
2.000164009260364e-003	0.000000e+000	1.329257e+000
2.000203727965050e-003	0.000000e+000	9.759663e-001
2.000243326655973e-003	0.000000e+000	7.014518e-001
2.000286198683330e-003	0.000000e+000	4.855987e-001
2.000339069876487e-003	0.000000e+000	3.011664e-001
2.000382923090334e-003	0.000000e+000	1.981907e-001
2.000422710180101e-003	0.000000e+000	1.367494e-001
2.000466416565800e-003	0.000000e+000	9.113190e-002
2.000507635744869e-003	0.000000e+000	6.190504e-002
2.000550316852005e-003	0.000000e+000	4.153035e-002
2.000590948517024e-003	0.000000e+000	2.837928e-002
2.000633008631526e-003	0.000000e+000	1.916726e-002
2.000673898428678e-003	0.000000e+000	1.307891e-002
2.000715836766096e-003	0.000000e+000	8.847550e-003
2.000756904241831e-003	0.000000e+000	6.033110e-003
2.000798705921183e-003	0.000000e+000	4.091753e-003
2.000839904182445e-003	0.000000e+000	2.792901e-003
2.000881695108119e-003	0.000000e+000	1.900162e-003
2.000923091001231e-003	0.000000e+000	1.300462e-003
2.000964958708095e-003	0.000000e+000	8.899070e-004
2.001006627562755e-003	0.000000e+000	6.133324e-004
2.001048764606610e-003	0.000000e+000	4.251333e-004
2.001093259918937e-003	0.000000e+000	2.938283e-004
2.001146076799823e-003	0.000000e+000	1.944629e-004
2.001205837559043e-003	0.000000e+000	1.268337e-004
2.001277473150649e-003	0.000000e+000	8.215798e-005
2.001467151732670e-003	0.000000e+000	4.215422e-005
2.500000001000000e-003	0.000000e+000	3.327207e-005
2.500000002000000e-003	1.000000e+000	3.327205e-005
2.500000376479999e-003	1.000000e+000	8.590783e-005
2.500000750959997e-003	1.000000e+000	2.181478e-004
2.500001125439996e-003	1.000000e+000	4.299919e-004
2.500001499919994e-003	1.000000e+000	7.214402e-004
2.500001874399993e-003	1.000000e+000	1.092493e-003
2.500002248879991e-003	1.000000e+000	1.543149e-003
2.500002623359989e-003	1.000000e+000	2.073410e-003
2.500004754302460e-003	1.000000e+000	6.221119e-003
2.500007869748858e-003	1.000000e+000	1.573052e-002
2.500012215714602e-003	1.000000e+000	3.495493e-002
2.500018085238219e-003	1.000000e+000	7.006665e-002
2.500025891136609e-003	1.000000e+000	1.295020e-001
2.500036182493819e-003	1.000000e+000	2.239864e-001
2.500049810733005e-003	1.000000e+000	3.672541e-001
2.500065769919381e-003	1.000000e+000	5.507042e-001
2.500111276336926e-003	1.000000e+000	1.096762e+000
2.500147895506308e-003	1.000000e+000	1.505780e+000
2.500186272008933e-003	1.000000e+000	1.876950e+000
2.500226604793207e-003	1.000000e+000	2.190355e+000
2.500266919508530e-003	1.000000e+000	2.425268e+000
2.500314879664037e-003	1.000000e+000	2.617299e+000
2.500383876431292e-003	1.000000e+000	2.798290e+000
2.500424751450864e-003	1.000000e+000	2.866898e+000
2.500505602288316e-003	1.000000e+000	2.936723e+000
2.500628139639781e-003	1.000000e+000	2.979796e+000
2.500826176167983e-003	1.000000e+000	2.990072e+000
2.501024212696186e-003	1.000000e+000	2.997880e+000
2.501222249224388e-003	1.000000e+000	3.003221e+000
2.501420285752591e-003	1.000000e+000	3.006095e+000
2.501618322280793e-003	1.000000e+000	3.006501e+000
2.501816358808996e-003	1.000000e+000	3.004439e+000
2.502014395337198e-003	1.000000e+000	2.999910e+000
3.000000000000000e-003	1.000000e+000	2.999910e+000
3.000000001000000e-003	3.995803e-009	2.999910e+000
3.000006035028447e-003	1.729087e-009	2.984405e+000
3.000012069056895e-003	2.766730e-011	2.960478e+000
3.000018103085342e-003	-1.108457e-009	2.928130e+000
3.000024137113789e-003	-1.679286e-009	2.887359e+000
3.000030171142236e-003	-1.684820e-009	2.838168e+000
3.000036205170684e-003	-1.125058e-009	2.780554e+000
3.000042239199131e-003	0.000000e+000	2.714519e+000
3.000073666784593e-003	0.000000e+000	2.354685e+000
3.000126244549434e-003	0.000000e+000	1.730031e+000
3.000164009260364e-003	0.000000e+000	1.329257e+000
3.000203727965051e-003	0.000000e+000	9.759663e-001
3.000243326655974e-003	0.000000e+000	7.014518e-001
3.000286198683330e-003	0.000000e+000	4.855987e-001
3.000339069876487e-003	0.000000e+000	3.011664e-001
3.000382923090334e-003	0.000000e+000	1.981907e-001
3.000422710180101e-003	0.000000e+000	1.367494e-001
3.000466416565800e-003	0.000000e+000	9.113190e-002
3.000507635744870e-003	0.000000e+000	6.190504e-002
3.000550316852005e-003	0.000000e+000	4.153035e-002
3.000590948517024e-003	0.000000e+000	2.837928e-002
3.000633008631527e-003	0.000000e+000	1.916726e-002
3.000673898428678e-003	0.000000e+000	1.307891e-002
3.000715836766097e-003	0.000000e+000	8.847550e-003
3.000756904241832e-003	0.000000e+000	6.033110e-003
3.000798705921185e-003	0.000000e+000	4.091753e-003
3.000839904182447e-003	0.000000e+000	2.792901e-003
3.000881695108120e-003	0.000000e+000	1.900162e-003
3.000923091001232e-003	0.000000e+000	1.300462e-003
3.000964958708097e-003	0.000000e+000	8.899070e-004
3.001006627562757e-003	0.000000e+000	6.133324e-004
3.001048764606609e-003	0.000000e+000	4.251333e-004
3.001093259918938e-003	0.000000e+000	2.938283e-004
3.001146076799827e-003	0.000000e+000	1.944629e-004
3.001205837559043e-003	0.000000e+000	1.268337e-004
3.001277473150650e-003	0.000000e+000	8.215798e-005
3.001467151732659e-003	0.000000e+000	4.215422e-005
3.425169486194988e-003	0.000000e+000	3.327207e-005
3.500000001000000e-003	0.000000e+000	3.327207e-005
3.500000002000000e-003	1.000000e+000	3.327205e-005
3.500000376479999e-003	1.000000e+000	8.590783e-005
3.500000750959997e-003	1.000000e+000	2.181478e-004
3.500001125439996e-003	1.000000e+000	4.299919e-004
3.500001499919994e-003	1.000000e+000	7.214402e-004
