v	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-001	1.000268e-009	5.451393e-011
2.000000000000000e-001	2.157837e-009	3.215127e-008
3.000000000000000e-001	1.054187e-008	1.536276e-006
4.000000000000000e-001	3.642150e-007	7.337535e-005
5.000000000000000e-001	1.719847e-005	3.501635e-003
6.000000000000000e-001	7.964552e-004	1.607752e-001
7.000000000000000e-001	5.420226e-002	6.637986e-001
7.999999999999999e-001	1.414378e-001	7.768013e-001
8.999999999999999e-001	2.327015e-001	8.813434e-001
9.999999999999999e-001	3.259728e-001	9.837483e-001
1.100000000000000e+000	4.206438e-001	1.084914e+000
1.200000000000000e+000	5.161623e-001	1.185717e+000
1.300000000000000e+000	6.122863e-001	1.286338e+000
1.400000000000000e+000	7.088764e-001	1.386803e+000
1.500000000000000e+000	8.058323e-001	1.487157e+000
1.600000000000000e+000	9.030818e-001	1.587436e+000
1.700000000000000e+000	1.000572e+000	1.687658e+000
1.800000000000001e+000	1.098263e+000	1.787839e+000
1.900000000000001e+000	1.196125e+000	1.887987e+000
2.000000000000000e+000	1.294132e+000	1.988109e+000
2.100000000000001e+000	1.392266e+000	2.088211e+000
2.200000000000001e+000	1.490511e+000	2.188296e+000
2.300000000000001e+000	1.588853e+000	2.288368e+000
2.400000000000001e+000	1.687282e+000	2.388428e+000
2.500000000000001e+000	1.785789e+000	2.488479e+000
2.600000000000001e+000	1.884366e+000	2.588521e+000
2.700000000000001e+000	1.983006e+000	2.688557e+000
2.800000000000001e+000	2.081703e+000	2.788586e+000
2.900000000000001e+000	2.180453e+000	2.888610e+000
3.000000000000001e+000	2.279251e+000	2.988630e+000
3.100000000000001e+000	2.378093e+000	3.088645e+000
3.200000000000002e+000	2.476976e+000	3.188657e+000
3.300000000000002e+000	2.575897e+000	3.288666e+000
3.400000000000002e+000	2.674853e+000	3.388671e+000
3.500000000000002e+000	2.773841e+000	3.488675e+000
3.600000000000002e+000	2.872860e+000	3.588676e+000
3.700000000000002e+000	2.971907e+000	3.688674e+000
3.800000000000002e+000	3.070981e+000	3.788671e+000
3.900000000000002e+000	3.170080e+000	3.888667e+000
4.000000000000002e+000	3.269203e+000	3.988661e+000
4.100000000000001e+000	3.368348e+000	4.088653e+000
4.200000000000001e+000	3.467513e+000	4.188644e+000
4.300000000000001e+000	3.566699e+000	4.288634e+000
4.400000000000000e+000	3.665903e+000	4.388622e+000
4.500000000000000e+000	3.765126e+000	4.488610e+000
4.600000000000000e+000	3.864365e+000	4.588597e+000
4.699999999999999e+000	3.963620e+000	4.688583e+000
4.799999999999999e+000	4.062891e+000	4.788568e+000
4.899999999999999e+000	4.162176e+000	4.888552e+000
5.000000000000000e+000	4.261475e+000	4.988536e+000
